chamber,fid_eff_ch_level
W-2_RB1in_S01,95.8525390625
W-2_RB1out_S01,97.1430549621582
W-2_RB2in_S01,99.13978576660156
W-2_RB2out_S01,99.2042973836263
W-2_RB3-_S01,97.73230361938477
W-2_RB3+_S01,99.35351943969727
W-2_RB4-_S01,0.0
W-2_RB4+_S01,50.0
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,95.88235092163086
W-2_RB1out_S02,97.74726867675781
W-2_RB2in_S02,97.84999465942383
W-2_RB2out_S02,97.96125030517578
W-2_RB3-_S02,97.80612182617188
W-2_RB3+_S02,0.0
W-2_RB4-_S02,37.5
W-2_RB4+_S02,100.0
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,96.5519905090332
W-2_RB1out_S03,97.08362579345703
W-2_RB2in_S03,93.30107879638672
W-2_RB2out_S03,97.86803690592448
W-2_RB3-_S03,0.0
W-2_RB3+_S03,85.95997619628906
W-2_RB4-_S03,88.4518928527832
W-2_RB4+_S03,98.98989868164062
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,97.13587188720703
W-2_RB1out_S04,97.69690704345703
W-2_RB2in_S04,97.88359832763672
W-2_RB2out_S04,93.56378173828125
W-2_RB3-_S04,96.8300895690918
W-2_RB3+_S04,99.01282501220703
W-2_RB4-_S04,0.0
W-2_RB4+_S04,99.39024353027344
W-2_RB4--_S04,96.32352828979492
W-2_RB4++_S04,93.42105484008789
W-2_RB1in_S05,95.83613204956055
W-2_RB1out_S05,96.8707046508789
W-2_RB2in_S05,94.8878173828125
W-2_RB2out_S05,98.08113352457683
W-2_RB3-_S05,99.01960754394531
W-2_RB3+_S05,95.2056884765625
W-2_RB4-_S05,0.5
W-2_RB4+_S05,0.0
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,97.7902603149414
W-2_RB1out_S06,98.50481414794922
W-2_RB2in_S06,99.07060623168945
W-2_RB2out_S06,98.23260243733723
W-2_RB3-_S06,98.7728500366211
W-2_RB3+_S06,97.68157577514648
W-2_RB4-_S06,98.14814758300781
W-2_RB4+_S06,50.0
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,97.54133224487305
W-2_RB1out_S07,98.1640625
W-2_RB2in_S07,92.10832595825195
W-2_RB2out_S07,98.47087860107422
W-2_RB3-_S07,98.03889465332031
W-2_RB3+_S07,97.04244232177734
W-2_RB4-_S07,0.0
W-2_RB4+_S07,50.0
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,96.6691780090332
W-2_RB1out_S08,84.50056838989258
W-2_RB2in_S08,97.23646545410156
W-2_RB2out_S08,97.42329406738281
