run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency,contains_zero_roll,rolls_count,fid_eff_ch_level
321908,W-2_RB1in_S01,-2,1,1,1.88307,26732,0.00704424,1.00453,1.89159,458,Col,50.2101039885,0,2,96.38192367553712
321908,W-2_RB1out_S01,-2,1,1,1.83471,23732,0.00842675,1.00357,1.84126,458,Col,55.708782196,0,2,97.22332763671876
321908,W-2_RB2in_S01,-2,1,2,2.00083,28826,0.010481,1.00313,2.0071,458,Col,77.13584137000001,0,2,97.78257369995116
321908,W-2_RB2out_S01,-2,1,2,1.8533,24875,0.0144539,1.00254,1.85801,458,Col,80.890375773,0,3,98.16899871826172
321908,W-2_RB3+_S01,-2,1,3,1.86302,11683,0.00637857,1.00064,1.86421,458,Col,90.620540619,0,2,98.20272064208984
321908,W-2_RB3-_S01,-2,1,3,1.87985,12204,0.00385089,1.0017,1.88304,458,Col,91.201782227,0,2,97.68513870239258
321908,W-2_RB4+_S01,-2,1,4,1.88109,11311,0.00182937,1.00217,1.88517,458,Col,59.523809433,0,2,100.0
321908,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,458,Col,0.0,1,2,0.0
321908,W-2_RB1in_S02,-2,2,1,1.97774,31191,0.00659438,1.00388,1.98542,458,Col,52.086538315,0,2,95.98299407958984
321908,W-2_RB1out_S02,-2,2,1,2.16002,31113,0.00951125,1.00348,2.16755,458,Col,57.728658676,0,2,97.53140640258788
321908,W-2_RB2in_S02,-2,2,2,1.81479,28142,0.00573934,1.00362,1.82137,458,Col,78.7394371035,0,2,97.9391746520996
321908,W-2_RB2out_S02,-2,2,2,2.30828,32766,0.0136668,1.00261,2.31431,458,Col,82.29712677,0,3,98.1717020670573
321908,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,458,Col,0.0,1,2,0.0
321908,W-2_RB3-_S02,-2,2,3,1.66328,10976,0.00560691,1.00015,1.66353,458,Col,90.8887557985,0,2,96.79921340942384
321908,W-2_RB4+_S02,-2,2,4,1.84192,11687,0.00945626,1.00142,1.84454,458,Col,49.4318180085,0,2,98.04302215576172
321908,W-2_RB4-_S02,-2,2,4,1.70332,9605,0.00993084,1.0016,1.70604,458,Col,15.0,0,2,90.5038719177246
321908,W-2_RB1in_S03,-2,3,1,2.07548,31265,0.00975836,1.00407,2.08392,458,Col,52.1028556825,0,2,96.94944763183594
321908,W-2_RB1out_S03,-2,3,1,2.06784,28226,0.0107692,1.00294,2.07392,458,Col,56.00551033,0,2,97.8219223022461
321908,W-2_RB2in_S03,-2,3,2,2.15151,31255,0.00832932,1.00415,2.16043,458,Col,75.145954132,0,2,94.90348434448242
321908,W-2_RB2out_S03,-2,3,2,2.00788,27757,0.00976562,1.00305,2.014,458,Col,80.974690755,0,3,97.73905181884766
321908,W-2_RB3+_S03,-2,3,3,1.63376,8953,0.00894161,1.00091,1.63525,458,Col,81.5122375485,0,2,88.74961853027344
321908,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,458,Col,0.0,1,2,0.0
321908,W-2_RB4+_S03,-2,3,4,1.66427,9954,0.00468149,1.00134,1.6665,458,Col,56.041666031,0,2,97.12056732177734
321908,W-2_RB4-_S03,-2,3,4,1.8848,11518,0.0119457,1.00147,1.88758,458,Col,29.047618866,0,2,91.97174453735352
321908,W-2_RB1in_S04,-2,4,1,2.05485,30007,0.00869684,1.0035,2.06205,458,Col,50.667518616,0,2,97.26331329345705
321908,W-2_RB1out_S04,-2,4,1,2.32822,30970,0.0128552,1.00324,2.33577,458,Col,55.5200824735,0,2,97.82337188720705
321908,W-2_RB2in_S04,-2,4,2,2.0296,28183,0.0181478,1.00296,2.03561,458,Col,76.6304740905,0,2,96.9108772277832
321908,W-2_RB2out_S04,-2,4,2,1.94374,23630,0.00904828,1.00264,1.94887,458,Col,76.53979492166667,0,3,94.17308044433594
321908,W-2_RB3+_S04,-2,4,3,2.32579,14592,0.00717246,1.0008,2.32764,458,Col,92.5248565675,0,2,99.40495300292967
321908,W-2_RB3-_S04,-2,4,3,1.84861,11136,0.00697211,1.0005,1.84953,458,Col,89.776351929,0,2,96.43854522705078
321908,W-2_RB4++_S04,-2,4,4,1.72965,6737,0.00205392,1.00026,1.7301,458,Col,80.252101898,0,2,89.53488159179688
321908,W-2_RB4+_S04,-2,4,4,1.60354,7519,0.00383877,1.00064,1.60457,458,Col,94.500179291,0,2,98.19306182861328
321908,W-2_RB4--_S04,-2,4,4,1.54184,5785,0.00879531,1.0,1.54184,458,Col,58.152173996,0,2,96.00785064697266
321908,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,458,Col,0.0,1,2,0.0
321908,W-2_RB1in_S05,-2,5,1,2.12722,30364,0.00952781,1.00309,2.1338,458,Col,50.417510986,0,2,96.93864059448242
321908,W-2_RB1out_S05,-2,5,1,1.95401,25664,0.0111162,1.00405,1.96193,458,Col,55.8163280485,0,2,96.76720428466795
321908,W-2_RB2in_S05,-2,5,2,1.91751,27127,0.284159,1.00433,1.92581,458,Col,75.6498222355,0,2,94.55823516845705
321908,W-2_RB2out_S05,-2,5,2,2.02002,26640,0.0150895,1.00327,2.02663,458,Col,80.12344868966667,0,3,97.56464385986328
321908,W-2_RB3+_S05,-2,5,3,1.92649,11794,0.0068605,1.0018,1.92996,458,Col,88.8312301635,0,2,96.02784729003906
321908,W-2_RB3-_S05,-2,5,3,1.79637,11495,0.0103141,1.00141,1.7989,458,Col,90.990772247,0,2,97.45486450195312
321908,W-2_RB4+_S05,-2,5,4,1.83097,10193,0.0195797,1.00144,1.8336,458,Col,48.6842098235,0,2,94.70257568359376
321908,W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,458,Col,0.0,1,2,0.0
321908,W-2_RB1in_S06,-2,6,1,2.03377,30350,0.0094485,1.00383,2.04157,458,Col,51.889055252000006,0,2,97.05186080932616
321908,W-2_RB1out_S06,-2,6,1,2.29302,31302,0.010915,1.00427,2.3028,458,Col,57.183807373,0,2,97.53847122192384
321908,W-2_RB2in_S06,-2,6,2,2.17785,32217,0.0141283,1.004,2.18658,458,Col,78.64987945550001,0,2,98.68171310424805
321908,W-2_RB2out_S06,-2,6,2,1.98711,26522,0.0111636,1.00308,1.99324,458,Col,80.879160563,0,3,98.21165466308594
321908,W-2_RB3+_S06,-2,6,3,1.70754,10918,0.00719424,1.00094,1.70914,458,Col,91.0948867795,0,2,98.15630340576172
321908,W-2_RB3-_S06,-2,6,3,1.74711,11171,0.00609947,1.00094,1.74875,458,Col,90.9986763,0,2,97.57437133789062
321908,W-2_RB4+_S06,-2,6,4,1.83951,10132,0.00744372,1.00218,1.84352,458,Col,44.4444446565,0,2,95.74468231201172
321908,W-2_RB4-_S06,-2,6,4,1.71118,9509,0.00503869,1.00126,1.71333,458,Col,40.0793647765,0,2,91.0700454711914
321908,W-2_RB1in_S07,-2,7,1,2.09217,29780,0.00976535,1.00381,2.10014,458,Col,51.0372982025,0,2,97.26992797851562
321908,W-2_RB1out_S07,-2,7,1,1.91993,24936,0.0145519,1.00348,1.9266,458,Col,55.728702545,0,2,97.8538703918457
321908,W-2_RB2in_S07,-2,7,2,1.97853,25709,0.00600277,1.00425,1.98694,458,Col,71.938047409,0,2,89.91084671020508
321908,W-2_RB2out_S07,-2,7,2,1.83912,23561,0.0141285,1.00368,1.84589,458,Col,79.89678446466667,0,3,97.89535776774088
321908,W-2_RB3+_S07,-2,7,3,2.20381,13203,0.0126857,1.0005,2.20491,458,Col,89.848514557,0,2,96.89702987670898
