chamber,fid_eff_roll_level
W-2_RB1in_B_S01,96.75090026855469
W-2_RB1in_F_S01,97.1962661743164
W-2_RB1out_B_S01,96.78362274169922
W-2_RB1out_F_S01,99.56331634521484
W-2_RB2in_B_S01,97.7505111694336
W-2_RB2in_F_S01,98.78787994384766
W-2_RB2out_M_S01,98.38710021972656
W-2_RB2out_B_S01,98.64865112304688
W-2_RB2out_F_S01,99.20634460449219
W-2_RB3-_B_S01,97.32620239257812
W-2_RB3-_F_S01,99.50494384765625
W-2_RB3+_B_S01,96.73202514648438
W-2_RB3+_F_S01,98.0
W-2_RB4-_B_S01,0.0
W-2_RB4-_F_S01,0.0
W-2_RB4+_B_S01,100.0
W-2_RB4+_F_S01,0.0
W-2_RB4--_B_S01,0.0
W-2_RB4--_F_S01,0.0
W-2_RB4++_B_S01,0.0
W-2_RB4++_F_S01,0.0
W-2_RB1in_B_S02,91.49659729003906
W-2_RB1in_F_S02,98.63636779785156
W-2_RB1out_B_S02,95.0
W-2_RB1out_F_S02,98.7854232788086
W-2_RB2in_B_S02,98.85844421386719
W-2_RB2in_F_S02,97.42268371582031
W-2_RB2out_M_S02,97.7528076171875
W-2_RB2out_B_S02,100.0
W-2_RB2out_F_S02,100.0
W-2_RB3-_B_S02,95.78947448730469
W-2_RB3-_F_S02,96.64804077148438
W-2_RB3+_B_S02,0.0
W-2_RB3+_F_S02,0.0
W-2_RB4-_B_S02,100.0
W-2_RB4-_F_S02,0.0
W-2_RB4+_B_S02,94.64286041259766
W-2_RB4+_F_S02,100.0
W-2_RB4--_B_S02,0.0
W-2_RB4--_F_S02,0.0
W-2_RB4++_B_S02,0.0
W-2_RB4++_F_S02,0.0
W-2_RB1in_B_S03,94.75806427001953
W-2_RB1in_F_S03,96.72130584716797
W-2_RB1out_B_S03,97.52650451660156
W-2_RB1out_F_S03,99.14530181884766
W-2_RB2in_B_S03,97.94050598144531
W-2_RB2in_F_S03,89.4117660522461
W-2_RB2out_M_S03,96.88716125488281
W-2_RB2out_B_S03,97.0
W-2_RB2out_F_S03,98.46154022216797
W-2_RB3-_B_S03,0.0
W-2_RB3-_F_S03,0.0
W-2_RB3+_B_S03,80.45112609863281
W-2_RB3+_F_S03,99.2957763671875
