chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
W+2_RB3-_S09,2,9,3,1.91599,39682,0.00420067,1.00058,1.9171,1788,Col,92.289096832
W+2_RB4_S09,2,9,4,1.82345,36821,0.00827019,1.00184,1.8268,1788,Col,51.1686992645
W+2_RB1in_S10,2,10,1,2.12189,95954,0.00614759,1.00384,2.13004,1788,Col,53.9725551605
W+2_RB1out_S10,2,10,1,1.93721,82008,0.00484256,1.00403,1.94502,1788,Col,59.0805950165
W+2_RB2in_S10,2,10,2,2.16985,97166,0.0114337,1.00386,2.17822,1788,Col,80.2002105715
W+2_RB2out_S10,2,10,2,1.80661,73482,0.0075724,1.00249,1.81111,1788,Col,81.30780283600001
W+2_RB3+_S10,2,10,3,1.86995,36322,0.00339786,1.00088,1.87159,1788,Col,91.946529388
W+2_RB3-_S10,2,10,3,1.79662,34319,0.00413569,1.00079,1.79803,1788,Col,90.786178589
W+2_RB4+_S10,2,10,4,1.965,46767,0.0055042,1.00177,1.96847,1788,Col,95.6783065795
W+2_RB4-_S10,2,10,4,1.86842,41735,0.00640193,1.00179,1.87178,1788,Col,94.030822754
W+2_RB1in_S11,2,11,1,2.43374,111575,0.0122587,1.00443,2.44452,1788,Col,53.6496887205
W+2_RB1out_S11,2,11,1,1.51437,58326,0.00823056,1.00333,1.51942,1788,Col,50.873397827000005
W+2_RB2in_S11,2,11,2,1.97255,89402,0.00405975,1.0031,1.97866,1788,Col,80.1474266055
W+2_RB2out_S11,2,11,2,1.81814,72622,0.0135693,1.00259,1.82284,1788,Col,81.25527445466666
W+2_RB3+_S11,2,11,3,2.12791,40011,0.0059565,1.00112,2.13028,1788,Col,89.94959259
W+2_RB3-_S11,2,11,3,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+2_RB4_S11,2,11,4,1.79876,33286,0.0189138,1.00173,1.80187,1788,Col,61.695251465
W+2_RB1in_S12,2,12,1,2.35858,52726,0.00317602,1.00422,2.36854,1788,Col,24.92050427927845
W+2_RB1out_S12,2,12,1,1.77286,40196,0.00635117,1.00381,1.77961,1788,Col,29.71622996509755
W+2_RB2in_S12,2,12,2,1.88152,87579,0.00524201,1.00347,1.88805,1788,Col,79.651798248
W+2_RB2out_S12,2,12,2,1.86746,78506,0.00620852,1.00255,1.87222,1788,Col,81.29384104366666
W+2_RB3+_S12,2,12,3,1.75257,36506,0.00326452,1.00086,1.75408,1788,Col,91.83692932150001
W+2_RB3-_S12,2,12,3,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+2_RB4+_S12,2,12,4,1.88469,37675,0.00535268,1.0017,1.8879,1788,Col,61.6522369385
W+2_RB4-_S12,2,12,4,1.67498,21892,0.00382555,1.00084,1.67639,1788,Col,43.5597190855
W-2_RB1in_S01,-2,1,1,1.93502,95445,0.00541308,1.00401,1.94278,2346,Col,54.2071723935
W-2_RB1out_S01,-2,1,1,1.85836,83442,0.00699316,1.00394,1.86567,2346,Col,59.686954498
W-2_RB2in_S01,-2,1,2,2.02109,98708,0.00595835,1.00374,2.02865,2346,Col,81.0419883725
W-2_RB2out_S01,-2,1,2,1.86636,84294,0.0118233,1.00293,1.87183,2346,Col,84.31887817366668
W-2_RB3+_S01,-2,1,3,1.86441,39106,0.00357569,1.00129,1.86681,2346,Col,92.13945770250001
W-2_RB3-_S01,-2,1,3,1.87534,39911,0.00465182,1.00108,1.87737,2346,Col,91.8120880125
W-2_RB4+_S01,-2,1,4,1.92155,39584,0.00475728,1.00122,1.92389,2346,Col,45.3846149445
W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB1in_S02,-2,2,1,1.97556,105807,0.00498525,1.00428,1.98401,2346,Col,56.081790924
W-2_RB1out_S02,-2,2,1,2.15806,105512,0.00589053,1.00386,2.16639,2346,Col,61.295923232999996
W-2_RB2in_S02,-2,2,2,1.80221,93722,0.00432659,1.00378,1.80903,2346,Col,82.35011673
W-2_RB2out_S02,-2,2,2,2.268,107680,0.0132061,1.00319,2.27523,2346,Col,85.12044016533333
W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB3-_S02,-2,2,3,1.69287,37558,0.00383124,1.00086,1.69432,2346,Col,91.972236633
W-2_RB4+_S02,-2,2,4,1.81137,39814,0.00723385,1.00164,1.81435,2346,Col,53.095237732
W-2_RB4-_S02,-2,2,4,1.68487,31989,0.00826925,1.00137,1.68718,2346,Col,52.727272033999995
W-2_RB1in_S03,-2,3,1,2.03385,103580,0.00565504,1.00384,2.04167,2346,Col,55.2544555665
W-2_RB1out_S03,-2,3,1,2.07103,95984,0.00822077,1.00418,2.07969,2346,Col,59.648986816
W-2_RB2in_S03,-2,3,2,2.15884,105889,0.00576974,1.00372,2.16688,2346,Col,78.7638320925
W-2_RB2out_S03,-2,3,2,2.0246,94055,0.00637162,1.00311,2.0309,2346,Col,84.36180369066666
W-2_RB3+_S03,-2,3,3,1.62351,30720,0.0839235,1.00122,1.62548,2346,Col,81.83285522450001
W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB4+_S03,-2,3,4,1.71016,35797,0.00664055,1.00172,1.7131,2346,Col,60.1254463195
W-2_RB4-_S03,-2,3,4,1.87489,38887,0.0100767,1.00082,1.87642,2346,Col,47.077920914
W-2_RB1in_S04,-2,4,1,2.01602,99946,0.19225,1.00399,2.02406,2346,Col,54.440378189
W-2_RB1out_S04,-2,4,1,2.30374,104249,0.14353,1.00395,2.31284,2346,Col,59.4252738955
W-2_RB2in_S04,-2,4,2,2.0271,97236,0.0486991,1.00358,2.03435,2346,Col,80.67778396599999
W-2_RB2out_S04,-2,4,2,1.92674,80395,0.00659061,1.00255,1.93164,2346,Col,79.43802642833333
W-2_RB3+_S04,-2,4,3,2.34665,49939,0.00624971,1.00141,2.34996,2346,Col,93.186115265
W-2_RB3-_S04,-2,4,3,1.82714,38233,0.00387097,1.00057,1.82819,2346,Col,90.98228836050001
W-2_RB4++_S04,-2,4,4,1.7024,22247,0.118151,1.00031,1.70292,2346,Col,83.19670105
W-2_RB4+_S04,-2,4,4,1.62319,25648,0.00335422,1.00057,1.62411,2346,Col,94.494697571
W-2_RB4--_S04,-2,4,4,1.55722,20222,0.119667,1.00069,1.5583,2346,Col,60.937753676999996
W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB1in_S05,-2,5,1,2.14962,104538,0.0690917,1.00351,2.15716,2346,Col,53.989089965999995
W-2_RB1out_S05,-2,5,1,1.96049,86938,0.0730409,1.00328,1.96692,2346,Col,59.20524406449999
W-2_RB2in_S05,-2,5,2,1.92641,91281,0.378482,1.0036,1.93335,2346,Col,78.6544189455
W-2_RB2out_S05,-2,5,2,2.02514,89803,0.113905,1.00274,2.03069,2346,Col,83.36740366633335
W-2_RB3+_S05,-2,5,3,1.83948,23010,0.00679511,1.00088,1.84109,2346,Col,54.8912773135
W-2_RB3-_S05,-2,5,3,1.74206,22990,0.00788058,1.00053,1.74299,2346,Col,56.0637016295
W-2_RB4+_S05,-2,5,4,3.32573,50009,0.343353,1.00153,3.33082,2346,Col,56.222055435
W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB1in_S06,-2,6,1,2.03927,100587,0.00559554,1.00354,2.04649,2346,Col,55.031845093
W-2_RB1out_S06,-2,6,1,2.2961,104064,0.00593531,1.00372,2.30465,2346,Col,60.40596961999999
W-2_RB2in_S06,-2,6,2,2.18902,107343,0.0100332,1.00323,2.1961,2346,Col,82.25959014899999
W-2_RB2out_S06,-2,6,2,1.98215,87843,0.00679198,1.00251,1.98713,2346,Col,84.33148702
W-2_RB3+_S06,-2,6,3,1.69338,35986,0.00484683,1.00089,1.69489,2346,Col,92.16027832
W-2_RB3-_S06,-2,6,3,1.70151,36654,0.00366725,1.00093,1.70309,2346,Col,92.0366630555
W-2_RB4+_S06,-2,6,4,1.87033,36363,0.00879539,1.00124,1.87264,2346,Col,49.464286804
W-2_RB4-_S06,-2,6,4,1.71957,33444,0.0043704,1.00144,1.72205,2346,Col,56.467660904
W-2_RB1in_S07,-2,7,1,2.09088,101972,0.037441,1.00387,2.09897,2346,Col,53.9748039245
W-2_RB1out_S07,-2,7,1,1.90417,84983,0.00647546,1.0036,1.91102,2346,Col,59.365537643500005
W-2_RB2in_S07,-2,7,2,1.99926,88589,0.00403963,1.00326,2.00577,2346,Col,75.3427848815
W-2_RB2out_S07,-2,7,2,1.83364,80231,0.00626214,1.00254,1.83831,2346,Col,83.39739735900001
W-2_RB3+_S07,-2,7,3,2.24305,45406,0.00983056,1.00114,2.2456,2346,Col,91.2972221375
W-2_RB3-_S07,-2,7,3,1.98686,41728,0.00618989,1.001,1.98885,2346,Col,92.330280304
W-2_RB4+_S07,-2,7,4,1.87441,35209,0.00292802,1.0008,1.87591,2346,Col,55.55555343649999
W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB1in_S08,-2,8,1,1.94042,94287,0.00549484,1.0037,1.9476,2346,Col,50.5055160525
W-2_RB1out_S08,-2,8,1,1.46608,56818,0.0074571,1.00287,1.47029,2346,Col,48.5622940065
W-2_RB2in_S08,-2,8,2,2.12356,102723,0.0141194,1.00398,2.13202,2346,Col,80.3188705445
W-2_RB2out_S08,-2,8,2,1.94459,85974,0.0439247,1.00304,1.9505,2346,Col,83.19235229499999
W-2_RB3+_S08,-2,8,3,1.72481,37656,0.0042598,1.00096,1.72647,2346,Col,93.064998627
W-2_RB3-_S08,-2,8,3,2.1087,45531,0.0796128,1.00065,2.11007,2346,Col,93.1298561095
W-2_RB4+_S08,-2,8,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB4-_S08,-2,8,4,1.39832,26975,0.00409517,1.00099,1.3997,2346,Col,51.517856598
W-2_RB1in_S09,-2,9,1,1.91452,93505,0.0045864,1.00391,1.92199,2346,Col,54.531032562
W-2_RB1out_S09,-2,9,1,1.92275,85149,0.00512589,1.0034,1.92929,2346,Col,59.511978149499996
W-2_RB2in_S09,-2,9,2,2.11722,103134,0.0057686,1.00334,2.12428,2346,Col,80.6628494265
W-2_RB2out_S09,-2,9,2,1.70352,74575,0.00436302,1.00231,1.70746,2346,Col,82.21243286133334
W-2_RB3+_S09,-2,9,3,1.86304,37095,0.0025614,1.0008,1.86454,2346,Col,88.2790641785
W-2_RB3-_S09,-2,9,3,1.90468,40785,0.00429646,1.00061,1.90584,2346,Col,92.6790351865
W-2_RB4_S09,-2,9,4,1.73694,37061,0.00290575,1.00155,1.73963,2346,Col,69.658121109
W-2_RB1in_S10,-2,10,1,2.38534,118790,0.00508032,1.00387,2.39457,2346,Col,54.687166214
W-2_RB1out_S10,-2,10,1,1.90346,87401,0.0380251,1.00374,1.91057,2346,Col,58.674118042
W-2_RB2in_S10,-2,10,2,2.01971,102989,0.0316716,1.00443,2.02866,2346,Col,82.29726409899999
W-2_RB2out_S10,-2,10,2,2.06512,95553,0.00447374,1.00306,2.07143,2346,Col,84.239479065
W-2_RB3+_S10,-2,10,3,1.64247,36049,0.0716694,1.00123,1.6445,2346,Col,91.8580970765
W-2_RB3-_S10,-2,10,3,1.72355,35331,0.00356115,1.00103,1.72531,2346,Col,85.493270874
W-2_RB4+_S10,-2,10,4,1.80873,48342,0.00265649,1.00236,1.81301,2346,Col,94.9961586
W-2_RB4-_S10,-2,10,4,1.84031,48251,0.00541592,1.00191,1.84382,2346,Col,94.467891693
W-2_RB1in_S11,-2,11,1,2.17166,97994,0.00890878,1.00313,2.17847,2346,Col,49.415246963499996
W-2_RB1out_S11,-2,11,1,2.08078,93866,0.0126577,1.003,2.08702,2346,Col,58.1415729525
W-2_RB2in_S11,-2,11,2,2.15007,109118,0.0367875,1.00346,2.15751,2346,Col,80.7010269165
W-2_RB2out_S11,-2,11,2,1.95251,91352,0.0397546,1.00272,1.95782,2346,Col,83.89832560233334
W-2_RB3+_S11,-2,11,3,1.93642,42851,0.00664287,1.00077,1.93791,2346,Col,92.613304138
W-2_RB3-_S11,-2,11,3,1.93474,42454,0.116165,1.00073,1.93615,2346,Col,92.18391799950001
W-2_RB4_S11,-2,11,4,1.76977,39965,0.00921088,1.00169,1.77276,2346,Col,65.400156021
W-2_RB1in_S12,-2,12,1,2.1274,102513,0.00709735,1.00431,2.13658,2346,Col,54.9819278715
W-2_RB1out_S12,-2,12,1,1.98668,86939,0.00687827,1.00344,1.99351,2346,Col,59.182750702
W-2_RB2in_S12,-2,12,2,2.13751,100512,0.0110584,1.00376,2.14554,2346,Col,79.498512268
W-2_RB2out_S12,-2,12,2,1.87978,81699,0.00832912,1.00277,1.88498,2346,Col,83.37616221100001
W-2_RB3+_S12,-2,12,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-2_RB3-_S12,-2,12,3,2.75258,59530,0.00610348,1.00125,2.75602,2346,Col,94.069000244
W-2_RB4+_S12,-2,12,4,1.78929,37092,0.00501688,1.00135,1.79171,2346,Col,66.161617279
W-2_RB4-_S12,-2,12,4,1.66394,25881,0.0032789,1.00084,1.66534,2346,Col,54.638010025
W-1_RB1in_S01,-1,1,1,2.06661,155905,0.00609756,1.0064,2.07984,2346,Col,86.189353943
W-1_RB1out_S01,-1,1,1,2.07315,139844,0.00837595,1.00547,2.08449,2346,Col,86.5364990235
W-1_RB2in_S01,-1,1,2,1.91854,128283,0.00569805,1.00399,1.9262,2346,Col,90.42094421400002
W-1_RB2out_S01,-1,1,2,2.00642,118425,0.00689562,1.00424,2.01492,2346,Col,90.011554718
W-1_RB3+_S01,-1,1,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB3-_S01,-1,1,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4+_S01,-1,1,4,2.17628,59691,0.00864081,1.00146,2.17946,2346,Col,89.2022819515
W-1_RB4-_S01,-1,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB1in_S02,-1,2,1,2.16449,171146,0.00617175,1.00598,2.17743,2346,Col,84.537017822
W-1_RB1out_S02,-1,2,1,2.38364,167243,0.00724028,1.00511,2.39583,2346,Col,84.3980407715
W-1_RB2in_S02,-1,2,2,2.21276,156604,0.00864737,1.00439,2.22247,2346,Col,91.25837707533333
W-1_RB2out_S02,-1,2,2,1.78437,109887,0.00513129,1.00393,1.79138,2346,Col,89.84928512549999
W-1_RB3+_S02,-1,2,3,1.6923,51483,0.00289264,1.00102,1.69402,2346,Col,94.036441803
W-1_RB3-_S02,-1,2,3,1.81362,51652,0.00519663,1.00148,1.8163,2346,Col,92.820381165
W-1_RB4+_S02,-1,2,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4-_S02,-1,2,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB1in_S03,-1,3,1,2.2164,135504,0.0551548,1.00533,2.22821,2346,Col,83.530269623
W-1_RB1out_S03,-1,3,1,2.26721,125050,0.0354812,1.00481,2.27811,2346,Col,85.2705383305
W-1_RB2in_S03,-1,3,2,1.78707,97608,0.00624325,1.0036,1.79351,2346,Col,87.35581207266667
W-1_RB2out_S03,-1,3,2,1.76,87766,0.00836224,1.00397,1.76698,2346,Col,88.467845917
W-1_RB3+_S03,-1,3,3,1.72699,38182,0.00334705,1.00113,1.72894,2346,Col,93.221790314
W-1_RB3-_S03,-1,3,3,1.74669,41573,0.00499979,1.00109,1.7486,2346,Col,93.283531189
W-1_RB4+_S03,-1,3,4,1.65623,31364,0.00480541,1.00137,1.65851,2346,Col,93.03906631449999
W-1_RB4-_S03,-1,3,4,1.51177,30621,0.00449272,1.00104,1.51334,2346,Col,73.3697624205
W-1_RB1in_S04,-1,4,1,2.3692,176053,0.0275202,1.00559,2.38244,2346,Col,84.393417358
W-1_RB1out_S04,-1,4,1,1.79391,55658,0.00506027,1.00444,1.80187,2346,Col,40.3905296325
W-1_RB2in_S04,-1,4,2,1.73145,105733,0.048554,1.00357,1.73763,2346,Col,82.47777557366668
W-1_RB2out_S04,-1,4,2,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB3+_S04,-1,4,3,1.90674,52136,0.0203343,1.00125,1.90911,2346,Col,92.673408508
W-1_RB3-_S04,-1,4,3,1.68462,45013,0.00291916,1.00105,1.68639,2346,Col,92.902935028
W-1_RB4++_S04,-1,4,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4+_S04,-1,4,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4--_S04,-1,4,4,1.6527,23237,0.112233,1.00043,1.65341,2346,Col,94.2388343815
W-1_RB4-_S04,-1,4,4,1.53557,29595,0.00191978,1.00057,1.53644,2346,Col,95.952823639
W-1_RB1in_S05,-1,5,1,1.98943,143949,0.111143,1.00531,1.99999,2346,Col,83.773109436
W-1_RB1out_S05,-1,5,1,2.19695,145596,0.121439,1.00487,2.20764,2346,Col,85.9097824095
W-1_RB2in_S05,-1,5,2,1.85321,123715,0.050931,1.00377,1.86021,2346,Col,89.802660624
W-1_RB2out_S05,-1,5,2,1.9064,114325,0.0810085,1.00392,1.91387,2346,Col,91.577064514
W-1_RB3+_S05,-1,5,3,2.19661,58263,0.0661665,1.00132,2.19952,2346,Col,93.819602966
W-1_RB3-_S05,-1,5,3,1.78515,49961,0.0718191,1.00122,1.78732,2346,Col,93.5376739505
W-1_RB4+_S05,-1,5,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4-_S05,-1,5,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB1in_S06,-1,6,1,2.12221,160356,0.00652453,1.00564,2.13418,2346,Col,85.09760284449999
W-1_RB1out_S06,-1,6,1,2.0526,136701,0.00678689,1.00495,2.06276,2346,Col,85.332092285
W-1_RB2in_S06,-1,6,2,2.24973,145760,0.00936873,1.00415,2.25907,2346,Col,87.90316263833334
W-1_RB2out_S06,-1,6,2,1.82503,108841,0.0039069,1.00406,1.83243,2346,Col,90.73557281500001
W-1_RB3+_S06,-1,6,3,1.48552,38466,0.00502047,1.00104,1.48707,2346,Col,86.2115097045
W-1_RB3-_S06,-1,6,3,1.61778,44340,0.00200671,1.00077,1.61902,2346,Col,91.3008842465
W-1_RB4+_S06,-1,6,4,1.70191,38955,0.0290096,1.00118,1.70392,2346,Col,81.501548767
W-1_RB4-_S06,-1,6,4,1.82421,35200,0.0163765,1.00119,1.82639,2346,Col,68.187164307
W-1_RB1in_S07,-1,7,1,2.04721,150079,0.0240625,1.00605,2.0596,2346,Col,85.511569977
W-1_RB1out_S07,-1,7,1,2.02315,131535,0.00535261,1.00512,2.0335,2346,Col,86.09539032
W-1_RB2in_S07,-1,7,2,1.58982,89130,0.00652837,1.00342,1.59525,2346,Col,76.82731628433334
W-1_RB2out_S07,-1,7,2,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB3+_S07,-1,7,3,1.78068,47847,0.00353554,1.00134,1.78307,2346,Col,93.250259399
W-1_RB3-_S07,-1,7,3,1.86616,50724,0.00489312,1.00118,1.86836,2346,Col,94.603553772
W-1_RB4+_S07,-1,7,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4-_S07,-1,7,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB1in_S08,-1,8,1,2.06359,149383,0.0332781,1.00517,2.07425,2346,Col,82.3995056155
W-1_RB1out_S08,-1,8,1,2.02961,132416,0.005288,1.00481,2.03937,2346,Col,83.21117782600001
W-1_RB2in_S08,-1,8,2,2.01131,134949,0.00544005,1.0038,2.01896,2346,Col,90.22670491566667
W-1_RB2out_S08,-1,8,2,2.05353,118969,0.0368005,1.00421,2.06218,2346,Col,88.757774353
W-1_RB3+_S08,-1,8,3,1.71547,45803,0.00513109,1.00112,1.7174,2346,Col,89.155658722
W-1_RB3-_S08,-1,8,3,1.81671,49738,0.00452918,1.00132,1.81911,2346,Col,93.753417969
W-1_RB4+_S08,-1,8,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4-_S08,-1,8,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB1in_S09,-1,9,1,2.10516,156022,0.00719162,1.00499,2.11567,2346,Col,84.3641510005
W-1_RB1out_S09,-1,9,1,2.2387,147656,0.00623143,1.0041,2.24787,2346,Col,85.4934654235
W-1_RB2in_S09,-1,9,2,1.91026,123508,0.00570722,1.00373,1.91738,2346,Col,89.46260070800001
W-1_RB2out_S09,-1,9,2,1.76148,97873,0.00568724,1.00399,1.76851,2346,Col,89.557601929
W-1_RB3+_S09,-1,9,3,1.79423,46372,0.00220546,1.00093,1.7959,2346,Col,91.7309875485
W-1_RB3-_S09,-1,9,3,1.64538,37745,0.00501308,1.00148,1.64782,2346,Col,87.576980591
W-1_RB4_S09,-1,9,4,1.79314,46394,0.00761412,1.00135,1.79557,2346,Col,90.4496269225
W-1_RB1in_S10,-1,10,1,2.24859,170551,0.00657895,1.00575,2.26153,2346,Col,84.8681030275
W-1_RB1out_S10,-1,10,1,2.04122,139736,0.00463064,1.00543,2.05232,2346,Col,86.196804047
W-1_RB2in_S10,-1,10,2,1.84884,126056,0.00374004,1.00427,1.85674,2346,Col,90.16098276766667
W-1_RB2out_S10,-1,10,2,2.13951,128619,0.00548939,1.00448,2.14909,2346,Col,91.2235336305
W-1_RB3+_S10,-1,10,3,2.032,56390,0.00605384,1.00159,2.03523,2346,Col,45.6579170225
W-1_RB3-_S10,-1,10,3,1.78376,48504,0.00356723,1.00136,1.78619,2346,Col,45.369873047
W-1_RB4+_S10,-1,10,4,1.93729,61073,0.00605868,1.00261,1.94234,2346,Col,92.754436493
W-1_RB4-_S10,-1,10,4,1.76589,53941,0.00658024,1.00207,1.76954,2346,Col,92.269493103
W-1_RB1in_S11,-1,11,1,2.15264,163450,0.0242065,1.00559,2.16467,2346,Col,84.63327026350001
W-1_RB1out_S11,-1,11,1,2.05391,140968,0.0343124,1.00505,2.06429,2346,Col,86.02145004249999
W-1_RB2in_S11,-1,11,2,1.92743,125435,0.00594662,1.00327,1.93373,2346,Col,86.01129658999999
W-1_RB2out_S11,-1,11,2,1.94826,118121,0.00639958,1.00366,1.95539,2346,Col,91.391086578
W-1_RB3+_S11,-1,11,3,1.72426,35899,0.00744476,1.00096,1.72591,2346,Col,67.8789958955
W-1_RB3-_S11,-1,11,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB4_S11,-1,11,4,1.85049,51997,0.00466209,1.0016,1.85346,2346,Col,92.524986267
W-1_RB1in_S12,-1,12,1,2.09782,151899,0.00673959,1.00581,2.11,2346,Col,84.0482559205
W-1_RB1out_S12,-1,12,1,2.00405,127221,0.00519832,1.00538,2.01484,2346,Col,82.6281967165
W-1_RB2in_S12,-1,12,2,2.04574,135882,0.00653398,1.00411,2.05415,2346,Col,90.66679128033333
W-1_RB2out_S12,-1,12,2,1.54427,77927,0.00723317,1.00336,1.54946,2346,Col,77.3094100955
W-1_RB3+_S12,-1,12,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W-1_RB3-_S12,-1,12,3,1.69498,45900,0.00528065,1.00107,1.69679,2346,Col,93.43598175049999
W-1_RB4+_S12,-1,12,4,1.43093,34627,0.00776892,1.00137,1.43288,2346,Col,79.53599548349999
W-1_RB4-_S12,-1,12,4,1.64759,29851,0.00502263,1.00094,1.64914,2346,Col,85.0748672485
W+0_RB1in_S01,0,1,1,2.19134,185580,0.00493576,1.00586,2.20417,2346,Col,86.14897918700001
W+0_RB1out_S01,0,1,1,2.00512,156189,0.0028885,1.00519,2.01552,2346,Col,88.705062866
W+0_RB2in_S01,0,1,2,2.06704,156764,0.00512922,1.00445,2.07623,2346,Col,92.20976003
W+0_RB2out_S01,0,1,2,1.93364,115448,0.00577841,1.00409,1.94154,2346,Col,80.3749465945
W+0_RB3+_S01,0,1,3,1.97013,60217,0.00402421,1.00102,1.97213,2346,Col,94.6849746705
W+0_RB3-_S01,0,1,3,1.75361,54455,0.00341352,1.0011,1.75554,2346,Col,94.479537964
W+0_RB4+_S01,0,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W+0_RB4-_S01,0,1,4,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W+0_RB1in_S02,0,2,1,2.06918,187577,0.0044014,1.00484,2.0792,2346,Col,82.6519317625
W+0_RB1out_S02,0,2,1,2.35352,204526,0.00363628,1.00473,2.36465,2346,Col,90.10637283349999
W+0_RB2in_S02,0,2,2,1.98171,163376,0.00913369,1.00357,1.98878,2346,Col,85.26842498766666
W+0_RB2out_S02,0,2,2,1.9355,142846,0.00589407,1.00337,1.94203,2346,Col,91.188644409
W+0_RB3+_S02,0,2,3,2.08022,73153,0.00361144,1.00108,2.08247,2346,Col,93.941898346
W+0_RB3-_S02,0,2,3,1.81924,55876,0.0032884,1.00072,1.82054,2346,Col,87.1844062805
W+0_RB4+_S02,0,2,4,1.93791,60054,0.00316241,1.00036,1.9386,2346,Col,85.30411911
W+0_RB4-_S02,0,2,4,1.77386,46695,0.00505242,1.00164,1.77676,2346,Col,92.495426178
W+0_RB1in_S03,0,3,1,2.14487,173121,0.0235647,1.00557,2.15681,2346,Col,87.50019454950001
W+0_RB1out_S03,0,3,1,2.12012,158545,0.0444632,1.00516,2.13107,2346,Col,88.998180389
W+0_RB2in_S03,0,3,2,2.87188,209535,0.0283302,1.0042,2.88393,2346,Col,87.266316732
W+0_RB2out_S03,0,3,2,1.97363,133447,0.0710789,1.00337,1.98028,2346,Col,88.2191963195
W+0_RB3+_S03,0,3,3,1.90483,56804,0.00429228,1.00151,1.90771,2346,Col,94.600276947
W+0_RB3-_S03,0,3,3,1.88734,50594,0.061663,1.00075,1.88875,2346,Col,74.5925216675
W+0_RB4+_S03,0,3,4,1.67617,49581,0.05524,1.00139,1.67849,2346,Col,95.27599716200001
W+0_RB4-_S03,0,3,4,1.75898,53174,0.00727754,1.00116,1.76102,2346,Col,95.244255066
W+0_RB1in_S04,0,4,1,2.01835,159478,0.0426886,1.00509,2.02862,2346,Col,88.07709503199999
W+0_RB1out_S04,0,4,1,2.03688,146065,0.0489193,1.00438,2.04581,2346,Col,87.830821991
W+0_RB2in_S04,0,4,2,1.93378,139462,0.0281757,1.00338,1.94031,2346,Col,91.36867268900001
W+0_RB2out_S04,0,4,2,1.96026,126784,0.0268875,1.00326,1.96665,2346,Col,90.16468811050001
W+0_RB3+_S04,0,4,3,0.0,0,0.0,0.0,0.0,2346,Col,0.0
W+0_RB3-_S04,0,4,3,1.67052,49013,0.00473756,1.00075,1.67177,2346,Col,92.041217804
W+0_RB4++_S04,0,4,4,1.67308,28951,0.00462321,1.00116,1.67502,2346,Col,95.00912094099999
W+0_RB4+_S04,0,4,4,1.85956,41459,0.0761606,1.00081,1.86107,2346,Col,95.594306946
W+0_RB4--_S04,0,4,4,1.63144,27250,0.00299347,1.00048,1.63223,2346,Col,95.69550704950001
W+0_RB4-_S04,0,4,4,1.61823,34321,0.00315904,1.00061,1.61922,2346,Col,94.6628417965
W+0_RB1in_S05,0,5,1,2.13745,179142,0.0778418,1.00589,2.15005,2346,Col,88.05450058
W+0_RB1out_S05,0,5,1,2.15394,160753,0.0863973,1.0051,2.16494,2346,Col,88.5643348695
W+0_RB2in_S05,0,5,2,1.50189,79905,0.0352612,1.00336,1.50693,2346,Col,65.84789784766667
W+0_RB2out_S05,0,5,2,1.78549,109813,0.0552168,1.00375,1.79219,2346,Col,85.620162964
