chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
W+1_RB2in_S03,1,3,2,2.22997,145954,0.00707399,1.00414,2.23921,1788,Col,89.36669158966667
W+1_RB2out_S03,1,3,2,1.86826,107167,0.00399219,1.00415,1.87601,1788,Col,88.113182068
W+1_RB3+_S03,1,3,3,1.81563,46166,0.00338223,1.00122,1.81785,1788,Col,93.874320984
W+1_RB3-_S03,1,3,3,1.8183,50425,0.00403866,1.0013,1.82066,1788,Col,92.82821655250001
W+1_RB4+_S03,1,3,4,1.66764,41656,0.00384323,1.0016,1.67032,1788,Col,90.972026825
W+1_RB4-_S03,1,3,4,1.68488,42410,0.0042112,1.00127,1.68702,1788,Col,78.862224579
W+1_RB1in_S04,1,4,1,1.93991,113277,0.00751802,1.00598,1.9515,1788,Col,83.333194733
W+1_RB1out_S04,1,4,1,1.95452,101774,0.0050508,1.00448,1.96327,1788,Col,83.807662964
W+1_RB2in_S04,1,4,2,1.99349,85084,0.0100747,1.00287,1.9992,1788,Col,73.40050379433333
W+1_RB2out_S04,1,4,2,1.64476,74440,0.00797631,1.00339,1.65033,1788,Col,88.05803298949999
W+1_RB3+_S04,1,4,3,1.57612,31609,0.0030915,1.00145,1.5784,1788,Col,92.4620399475
W+1_RB3-_S04,1,4,3,1.69033,34858,0.00315197,1.00126,1.69246,1788,Col,91.5776634215
W+1_RB4++_S04,1,4,4,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+1_RB4+_S04,1,4,4,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+1_RB4--_S04,1,4,4,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+1_RB4-_S04,1,4,4,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+1_RB1in_S05,1,5,1,2.37262,162693,0.00802088,1.00591,2.38665,1788,Col,84.543979645
W+1_RB1out_S05,1,5,1,2.16624,127665,0.00702481,1.00546,2.17806,1788,Col,80.89597702
W+1_RB2in_S05,1,5,2,2.0513,125595,0.0168716,1.00379,2.05907,1788,Col,89.88956197099999
W+1_RB2out_S05,1,5,2,1.83045,95057,0.00573838,1.00396,1.8377,1788,Col,87.3890800475
W+1_RB3+_S05,1,5,3,1.87493,46039,0.00358379,1.00139,1.87753,1788,Col,94.11758804300001
W+1_RB3-_S05,1,5,3,1.79887,42851,0.00537341,1.00109,1.80084,1788,Col,88.1991157535
W+1_RB4+_S05,1,5,4,1.8193,38167,0.0114877,1.00148,1.82199,1788,Col,79.2073173525
W+1_RB4-_S05,1,5,4,1.70427,39948,0.00857509,1.00167,1.70711,1788,Col,94.08889770549999
W+1_RB1in_S06,1,6,1,2.07743,138546,0.00674754,1.00605,2.09,1788,Col,82.95608901950001
W+1_RB1out_S06,1,6,1,2.37887,136464,0.00744356,1.00554,2.39205,1788,Col,81.018405914
W+1_RB2in_S06,1,6,2,2.13294,128158,0.00777232,1.00436,2.14225,1788,Col,89.09243265766668
W+1_RB2out_S06,1,6,2,1.9061,101948,0.00465551,1.00451,1.9147,1788,Col,89.470954895
W+1_RB3+_S06,1,6,3,1.78898,44338,0.00451904,1.00113,1.791,1788,Col,92.6105270385
W+1_RB3-_S06,1,6,3,2.01082,49434,0.00585747,1.00143,2.01369,1788,Col,91.67965698200001
W+1_RB4+_S06,1,6,4,1.71297,36017,0.00794255,1.00129,1.71518,1788,Col,84.1831321715
W+1_RB4-_S06,1,6,4,1.61911,38219,0.0061004,1.00174,1.62192,1788,Col,81.09774398799999
W+1_RB1in_S07,1,7,1,1.99755,135412,0.00780363,1.00586,2.00926,1788,Col,84.847995758
W+1_RB1out_S07,1,7,1,2.01276,121585,0.00630722,1.00487,2.02257,1788,Col,84.42877960199999
W+1_RB2in_S07,1,7,2,1.97819,119916,0.00877613,1.00406,1.98622,1788,Col,89.72304280600001
W+1_RB2out_S07,1,7,2,1.96127,106283,0.00701223,1.00426,1.96963,1788,Col,90.2938537595
W+1_RB3+_S07,1,7,3,2.22642,54623,0.0281242,1.00098,2.2286,1788,Col,93.80331039449999
W+1_RB3-_S07,1,7,3,1.7723,43641,0.0123457,1.00134,1.77467,1788,Col,92.105190277
W+1_RB4+_S07,1,7,4,1.92675,39296,0.00809022,1.00147,1.92959,1788,Col,78.0620174405
W+1_RB4-_S07,1,7,4,2.31503,51896,0.00736049,1.0013,2.31803,1788,Col,83.83639526350001
W+1_RB1in_S08,1,8,1,2.2276,153203,0.00633951,1.00584,2.2406,1788,Col,81.48336410499999
W+1_RB1out_S08,1,8,1,2.18868,136865,0.00633266,1.00589,2.20157,1788,Col,84.2524528505
W+1_RB2in_S08,1,8,2,1.92918,119501,0.00720005,1.00444,1.93775,1788,Col,89.84432474766668
W+1_RB2out_S08,1,8,2,2.15572,110317,0.00611639,1.00424,2.16486,1788,Col,85.627189636
