run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
324077,W-2_RB1in_S01,-2,1,1,1.91642,45582,0.00908135,1.00405,1.92418,738,Col,50.8967056275
324077,W-2_RB1out_S01,-2,1,1,1.85864,40366,0.0107284,1.0036,1.86534,738,Col,55.5482234955
324077,W-2_RB2in_S01,-2,1,2,1.99546,47893,0.00887463,1.00364,2.00272,738,Col,77.68384552
324077,W-2_RB2out_S01,-2,1,2,1.85304,41145,0.0161232,1.00226,1.85723,738,Col,81.15240732833334
324077,W-2_RB3+_S01,-2,1,3,1.84997,19223,0.00461938,1.00096,1.85175,738,Col,91.01386260999999
324077,W-2_RB3-_S01,-2,1,3,1.8785,19852,0.00454201,1.00085,1.8801,738,Col,90.89494705199999
324077,W-2_RB4+_S01,-2,1,4,1.8824,18920,0.00656651,1.0012,1.88465,738,Col,54.5138893125
324077,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,738,Col,0.0
324077,W-2_RB1in_S02,-2,2,1,1.95719,50521,0.00635339,1.00451,1.96603,738,Col,52.1287765505
324077,W-2_RB1out_S02,-2,2,1,2.13513,50545,0.00523803,1.00399,2.14364,738,Col,57.3586273195
324077,W-2_RB2in_S02,-2,2,2,1.79423,45055,0.00569472,1.00412,1.80162,738,Col,78.7817611695
324077,W-2_RB2out_S02,-2,2,2,2.25548,51919,0.0120335,1.00279,2.26177,738,Col,81.732266744
324077,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,738,Col,0.0
324077,W-2_RB3-_S02,-2,2,3,1.66067,17912,0.00741702,1.00074,1.6619,738,Col,90.49673843400001
324077,W-2_RB4+_S02,-2,2,4,1.8084,19283,0.010316,1.0015,1.81112,738,Col,52.058822632
324077,W-2_RB4-_S02,-2,2,4,1.70556,15993,0.00799829,1.00128,1.70774,738,Col,52.81954956049999
324077,W-2_RB1in_S03,-2,3,1,2.02382,50292,0.0082495,1.00347,2.03085,738,Col,51.4893798825
324077,W-2_RB1out_S03,-2,3,1,2.04479,46570,0.0108013,1.00344,2.05181,738,Col,55.9276771545
324077,W-2_RB2in_S03,-2,3,2,2.12509,52071,0.00787659,1.00348,2.13248,738,Col,75.170883179
324077,W-2_RB2out_S03,-2,3,2,2.00287,45988,0.00901529,1.00266,2.00821,738,Col,80.91021728533333
324077,W-2_RB3+_S03,-2,3,3,1.6192,14963,0.00389568,1.00097,1.62078,738,Col,81.21615219099999
324077,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,738,Col,0.0
324077,W-2_RB4+_S03,-2,3,4,1.69331,16779,0.00736704,1.00162,1.69605,738,Col,66.562347412
324077,W-2_RB4-_S03,-2,3,4,1.83169,18392,0.0151379,1.0016,1.83461,738,Col,48.8175678255
324077,W-2_RB1in_S04,-2,4,1,1.98838,49093,0.0682463,1.00382,1.99597,738,Col,51.099800109499995
324077,W-2_RB1out_S04,-2,4,1,2.29514,51115,0.00727403,1.00356,2.30331,738,Col,56.3317108155
324077,W-2_RB2in_S04,-2,4,2,1.98326,47156,0.0174118,1.00355,1.99029,738,Col,77.658279419
324077,W-2_RB2out_S04,-2,4,2,1.90856,39429,0.00580861,1.00262,1.91356,738,Col,76.78849538133333
324077,W-2_RB3+_S04,-2,4,3,2.36857,25275,0.00637241,1.00113,2.37124,738,Col,92.33238601650001
324077,W-2_RB3-_S04,-2,4,3,1.80679,18581,0.00330611,1.00107,1.80872,738,Col,90.0657196045
324077,W-2_RB4++_S04,-2,4,4,1.69869,11281,0.00105406,1.0006,1.69971,738,Col,84.093021393
324077,W-2_RB4+_S04,-2,4,4,1.59599,12586,0.00557951,1.00076,1.59721,738,Col,94.274822235
324077,W-2_RB4--_S04,-2,4,4,1.52641,9421,0.25243,1.00032,1.5269,738,Col,73.4432239535
324077,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,738,Col,0.0
324077,W-2_RB1in_S05,-2,5,1,2.15029,52493,0.0085204,1.0044,2.15976,738,Col,50.846353531000005
324077,W-2_RB1out_S05,-2,5,1,1.92774,42765,0.00784349,1.00307,1.93367,738,Col,56.124570846500006
324077,W-2_RB2in_S05,-2,5,2,1.9019,45522,0.291498,1.00365,1.90884,738,Col,75.553604126
324077,W-2_RB2out_S05,-2,5,2,1.99528,44369,0.0126366,1.00248,2.00023,738,Col,80.24760182733333
324077,W-2_RB3+_S05,-2,5,3,1.88743,19214,0.00834971,1.00118,1.88965,738,Col,90.022994995
324077,W-2_RB3-_S05,-2,5,3,1.80719,19814,0.00492521,1.00073,1.80851,738,Col,91.0020751955
324077,W-2_RB4+_S05,-2,5,4,0.0,0,0.0,0.0,0.0,738,Col,0.0
324077,W-2_RB4-_S05,-2,5,4,1.04937,1424,0.589536,1.0,1.04937,738,Col,6.7914437652
324077,W-2_RB1in_S06,-2,6,1,2.01426,49001,0.0087146,1.00409,2.02249,738,Col,51.6676540375
324077,W-2_RB1out_S06,-2,6,1,2.27184,50962,0.00847004,1.00389,2.28069,738,Col,57.029418945
324077,W-2_RB2in_S06,-2,6,2,2.16797,52827,0.0121065,1.00342,2.17538,738,Col,78.9014434815
324077,W-2_RB2out_S06,-2,6,2,1.93495,42743,0.00746944,1.00286,1.94048,738,Col,81.23532613133334
324077,W-2_RB3+_S06,-2,6,3,1.68491,17705,0.00723258,1.00095,1.68651,738,Col,90.52350235
324077,W-2_RB3-_S06,-2,6,3,1.68524,18086,0.00726798,1.00065,1.68634,738,Col,90.95823669449999
324077,W-2_RB4+_S06,-2,6,4,1.84383,17686,0.00792327,1.00198,1.84749,738,Col,59.913793564
324077,W-2_RB4-_S06,-2,6,4,1.70539,16810,0.00405803,1.00173,1.70833,738,Col,42.857143402
324077,W-2_RB1in_S07,-2,7,1,2.08206,49449,0.00724211,1.0044,2.09122,738,Col,51.202754974499996
