chamber,contains_zero_roll,rolls_count,fid_eff_ch_level
W-2_RB1in_S01,0,2,97.03738403320312
W-2_RB1out_S01,0,2,97.25194931030273
W-2_RB2in_S01,0,2,98.34893417358398
W-2_RB2out_S01,0,3,98.4646224975586
W-2_RB3-_S01,0,2,98.01477813720703
W-2_RB3+_S01,0,2,97.66786193847656
W-2_RB4-_S01,1,2,0.0
W-2_RB4+_S01,0,2,85.0
W-2_RB4--_S01,1,2,0.0
W-2_RB4++_S01,1,2,0.0
W-2_RB1in_S02,0,2,95.28733444213867
W-2_RB1out_S02,0,2,97.68456649780273
W-2_RB2in_S02,0,2,97.61530303955078
W-2_RB2out_S02,0,3,98.38577270507812
W-2_RB3-_S02,0,2,97.58595657348633
W-2_RB3+_S02,1,2,0.0
W-2_RB4-_S02,0,2,89.40886688232422
W-2_RB4+_S02,0,2,95.01050567626953
W-2_RB4--_S02,1,2,0.0
W-2_RB4++_S02,1,2,0.0
W-2_RB1in_S03,0,2,97.419677734375
W-2_RB1out_S03,0,2,97.94120788574219
W-2_RB2in_S03,0,2,95.01286697387695
W-2_RB2out_S03,0,3,97.9283676147461
W-2_RB3-_S03,1,2,0.0
W-2_RB3+_S03,0,2,88.45781707763672
W-2_RB4-_S03,0,2,90.83968734741211
W-2_RB4+_S03,0,2,97.89242553710938
W-2_RB4--_S03,1,2,0.0
W-2_RB4++_S03,1,2,0.0
W-2_RB1in_S04,0,2,97.5833625793457
W-2_RB1out_S04,0,2,97.73018264770508
W-2_RB2in_S04,0,2,96.82857894897461
W-2_RB2out_S04,0,3,93.719970703125
W-2_RB3-_S04,0,2,96.31412887573242
W-2_RB3+_S04,1,2,0.0
W-2_RB4-_S04,1,2,0.0
W-2_RB4+_S04,0,2,98.28834533691406
W-2_RB4--_S04,0,2,98.10754013061523
W-2_RB4++_S04,0,2,88.71450805664062
W-2_RB1in_S05,0,2,96.83545303344727
W-2_RB1out_S05,0,2,96.89464950561523
W-2_RB2in_S05,0,2,95.62480926513672
W-2_RB2out_S05,0,3,98.31829579671223
W-2_RB3-_S05,0,2,98.01891326904297
W-2_RB3+_S05,0,2,97.78128051757812
W-2_RB4-_S05,1,2,0.0
W-2_RB4+_S05,1,2,0.0
W-2_RB4--_S05,1,2,0.0
W-2_RB4++_S05,1,2,0.0
W-2_RB1in_S06,0,2,97.67085266113281
W-2_RB1out_S06,0,2,97.92952346801758
W-2_RB2in_S06,0,2,98.4531478881836
W-2_RB2out_S06,0,3,98.35189819335938
W-2_RB3-_S06,0,2,96.82381057739258
W-2_RB3+_S06,0,2,98.1580924987793
W-2_RB4-_S06,0,2,96.55830001831055
W-2_RB4+_S06,0,2,100.0
W-2_RB4--_S06,1,2,0.0
W-2_RB4++_S06,1,2,0.0
W-2_RB1in_S07,0,2,97.15900039672852
W-2_RB1out_S07,0,2,98.06400680541992
W-2_RB2in_S07,0,2,90.85197067260742
W-2_RB2out_S07,0,3,98.29219818115234
W-2_RB3-_S07,0,2,97.70867919921875
W-2_RB3+_S07,0,2,97.15008163452148
W-2_RB4-_S07,1,2,0.0
W-2_RB4+_S07,0,2,97.36842346191406
W-2_RB4--_S07,1,2,0.0
W-2_RB4++_S07,1,2,0.0
W-2_RB1in_S08,0,2,95.54167556762695
W-2_RB1out_S08,0,2,81.32429504394531
W-2_RB2in_S08,0,2,97.55375671386719
W-2_RB2out_S08,0,3,98.59697723388672
W-2_RB3-_S08,0,2,98.67413711547852
W-2_RB3+_S08,0,2,99.30371475219727
W-2_RB4-_S08,0,2,89.07223129272461
W-2_RB4+_S08,1,2,0.0
W-2_RB4--_S08,1,2,0.0
W-2_RB4++_S08,1,2,0.0
W-2_RB1in_S09,0,2,96.93518447875977
