chamber,contains_zero_roll,rolls_count,fid_eff_ch_level
W-2_RB1in_S01,0,2,96.8475456237793
W-2_RB1out_S01,0,2,97.91920471191406
W-2_RB2in_S01,0,2,98.37849426269531
W-2_RB2out_S01,0,3,98.53512573242188
W-2_RB3-_S01,0,2,98.15119552612305
W-2_RB3+_S01,0,2,98.27482604980469
W-2_RB4-_S01,1,2,0.0
W-2_RB4+_S01,0,2,100.0
W-2_RB4--_S01,1,2,0.0
W-2_RB4++_S01,1,2,0.0
W-2_RB1in_S02,0,2,95.70879364013672
W-2_RB1out_S02,0,2,97.46835327148438
W-2_RB2in_S02,0,2,97.96485900878906
W-2_RB2out_S02,0,3,98.47229766845703
W-2_RB3-_S02,0,2,97.20150375366211
W-2_RB3+_S02,1,2,0.0
W-2_RB4-_S02,0,2,94.16666793823242
W-2_RB4+_S02,0,2,97.24039459228516
W-2_RB4--_S02,1,2,0.0
W-2_RB4++_S02,1,2,0.0
W-2_RB1in_S03,0,2,96.71896743774414
W-2_RB1out_S03,0,2,97.46227264404297
W-2_RB2in_S03,0,2,94.54479217529297
W-2_RB2out_S03,0,3,98.37946319580078
W-2_RB3-_S03,1,2,0.0
W-2_RB3+_S03,0,2,87.22337341308594
W-2_RB4-_S03,0,2,91.9586067199707
W-2_RB4+_S03,0,2,97.78498840332031
W-2_RB4--_S03,1,2,0.0
W-2_RB4++_S03,1,2,0.0
W-2_RB1in_S04,0,2,97.6025619506836
W-2_RB1out_S04,0,2,97.42079162597656
W-2_RB2in_S04,0,2,97.01854705810547
W-2_RB2out_S04,0,3,94.17499542236328
W-2_RB3-_S04,0,2,97.10872268676758
W-2_RB3+_S04,1,2,0.0
W-2_RB4-_S04,1,2,0.0
W-2_RB4+_S04,0,2,97.08848571777344
W-2_RB4--_S04,0,2,96.60129928588867
W-2_RB4++_S04,0,2,90.46165466308594
W-2_RB1in_S05,0,2,97.17712783813477
W-2_RB1out_S05,0,2,96.83917617797852
W-2_RB2in_S05,0,2,94.77289199829102
W-2_RB2out_S05,0,3,97.91969299316406
W-2_RB3-_S05,0,2,60.19369125366211
W-2_RB3+_S05,0,2,59.797454833984375
W-2_RB4-_S05,1,2,0.0
W-2_RB4+_S05,0,2,86.24251937866211
W-2_RB4--_S05,1,2,0.0
W-2_RB4++_S05,1,2,0.0
W-2_RB1in_S06,0,2,97.62662887573242
W-2_RB1out_S06,0,2,97.30198287963867
W-2_RB2in_S06,0,2,98.51497650146484
W-2_RB2out_S06,0,3,98.36217498779297
W-2_RB3-_S06,0,2,97.59917831420898
W-2_RB3+_S06,0,2,97.88515853881836
W-2_RB4-_S06,0,2,95.19275665283203
W-2_RB4+_S06,0,2,96.57534408569336
W-2_RB4--_S06,1,2,0.0
W-2_RB4++_S06,1,2,0.0
W-2_RB1in_S07,0,2,97.08118057250977
W-2_RB1out_S07,0,2,98.01778411865234
W-2_RB2in_S07,0,2,91.29746627807617
W-2_RB2out_S07,0,3,97.86184438069661
W-2_RB3-_S07,0,2,97.29462432861328
W-2_RB3+_S07,0,2,95.99784851074219
W-2_RB4-_S07,1,2,0.0
W-2_RB4+_S07,0,2,92.85714340209961
W-2_RB4--_S07,1,2,0.0
W-2_RB4++_S07,1,2,0.0
W-2_RB1in_S08,0,2,95.9748649597168
W-2_RB1out_S08,0,2,81.73107147216797
W-2_RB2in_S08,0,2,97.60267639160156
W-2_RB2out_S08,0,3,97.42367045084636
W-2_RB3-_S08,0,2,98.43143081665039
W-2_RB3+_S08,0,2,98.55078887939453
W-2_RB4-_S08,0,2,89.98361587524414
W-2_RB4+_S08,1,2,0.0
W-2_RB4--_S08,1,2,0.0
W-2_RB4++_S08,1,2,0.0
W-2_RB1in_S09,0,2,96.10123062133789
W-2_RB1out_S09,0,2,97.51594161987305
W-2_RB2in_S09,0,2,97.62944793701172
W-2_RB2out_S09,0,3,96.4755859375
W-2_RB3-_S09,0,2,98.26292419433594
W-2_RB3+_S09,0,2,94.50236511230469
W-2_RB4_S09,0,2,96.42161178588867
W-2_RB4+_S09,1,2,0.0
W-2_RB4--_S09,1,2,0.0
W-2_RB4++_S09,1,2,0.0
W-2_RB1in_S10,0,2,97.21895599365234
W-2_RB1out_S10,0,2,95.09442138671875
W-2_RB2in_S10,0,2,95.97769165039062
W-2_RB2out_S10,0,3,98.19486999511719
W-2_RB3-_S10,0,2,91.9273910522461
W-2_RB3+_S10,0,2,97.36626815795898
W-2_RB4-_S10,0,2,97.38447952270508
W-2_RB4+_S10,0,2,97.75069427490234
W-2_RB4--_S10,1,2,0.0
W-2_RB4++_S10,1,2,0.0
W-2_RB1in_S11,0,2,87.67830276489258
W-2_RB1out_S11,0,2,95.70119857788086
W-2_RB2in_S11,0,2,97.2580337524414
W-2_RB2out_S11,0,3,98.23876698811848
W-2_RB3-_S11,0,2,97.79308700561523
W-2_RB3+_S11,0,2,98.1617317199707
W-2_RB4_S11,0,2,98.00295639038086
W-2_RB4+_S11,1,2,0.0
W-2_RB4--_S11,1,2,0.0
W-2_RB4++_S11,1,2,0.0
W-2_RB1in_S12,0,2,97.15068054199219
W-2_RB1out_S12,0,2,96.96001815795898
W-2_RB2in_S12,0,2,96.03446197509766
W-2_RB2out_S12,0,3,97.55089314778645
W-2_RB3-_S12,0,2,99.72650527954102
W-2_RB3+_S12,1,2,0.0
W-2_RB4-_S12,0,2,97.10979843139648
W-2_RB4+_S12,0,2,97.2415542602539
W-2_RB4--_S12,1,2,0.0
W-2_RB4++_S12,1,2,0.0
W-1_RB1in_S01,0,2,97.32384490966797
W-1_RB1out_S01,0,2,97.78520584106445
W-1_RB2in_S01,0,3,96.97241719563802
W-1_RB2out_S01,0,2,96.4971694946289
W-1_RB3-_S01,1,2,0.0
W-1_RB3+_S01,1,2,0.0
W-1_RB4-_S01,1,2,0.0
W-1_RB4+_S01,0,2,97.82132720947266
W-1_RB4--_S01,1,2,0.0
W-1_RB4++_S01,1,2,0.0
W-1_RB1in_S02,0,2,95.19733810424805
W-1_RB1out_S02,0,2,95.1920280456543
W-1_RB2in_S02,0,3,98.15922292073567
W-1_RB2out_S02,0,2,95.56878280639648
W-1_RB3-_S02,0,2,96.95816040039062
W-1_RB3+_S02,0,2,97.65221786499023
W-1_RB4-_S02,1,2,0.0
W-1_RB4+_S02,1,2,0.0
W-1_RB4--_S02,1,2,0.0
W-1_RB4++_S02,1,2,0.0
W-1_RB1in_S03,0,2,96.62599182128906
W-1_RB1out_S03,0,2,97.73666381835938
W-1_RB2in_S03,0,3,98.07899983723958
W-1_RB2out_S03,0,2,94.8760986328125
W-1_RB3-_S03,0,2,98.1349983215332
W-1_RB3+_S03,0,2,95.11756896972656
W-1_RB4-_S03,0,2,97.12897872924805
W-1_RB4+_S03,0,2,97.52973175048828
W-1_RB4--_S03,1,2,0.0
W-1_RB4++_S03,1,2,0.0
W-1_RB1in_S04,0,2,96.90108489990234
W-1_RB1out_S04,1,2,47.38700866699219
W-1_RB2in_S04,0,3,92.26098124186198
W-1_RB2out_S04,1,2,0.0
W-1_RB3-_S04,0,2,97.25381469726562
W-1_RB3+_S04,0,2,97.00289916992188
W-1_RB4-_S04,0,2,97.57555389404297
W-1_RB4+_S04,1,2,0.0
W-1_RB4--_S04,0,2,97.04690551757812
W-1_RB4++_S04,1,2,0.0
W-1_RB1in_S05,0,2,95.63583374023438
W-1_RB1out_S05,0,2,98.02804946899414
W-1_RB2in_S05,0,3,97.60868326822917
W-1_RB2out_S05,0,2,97.91718292236328
W-1_RB3-_S05,0,2,97.46436309814453
W-1_RB3+_S05,0,2,98.0037727355957
W-1_RB4-_S05,1,2,0.0
W-1_RB4+_S05,1,2,0.0
W-1_RB4--_S05,1,2,0.0
W-1_RB4++_S05,1,2,0.0
W-1_RB1in_S06,0,2,96.84432983398438
W-1_RB1out_S06,0,2,97.6197280883789
W-1_RB2in_S06,0,3,94.93856557210286
W-1_RB2out_S06,0,2,96.3543586730957
W-1_RB3-_S06,0,2,93.86304473876953
W-1_RB3+_S06,0,2,91.70024490356445
W-1_RB4-_S06,0,2,68.57986259460449
W-1_RB4+_S06,0,2,97.3024787902832
W-1_RB4--_S06,1,2,0.0
W-1_RB4++_S06,1,2,0.0
W-1_RB1in_S07,0,2,97.8745346069336
W-1_RB1out_S07,0,2,98.0044937133789
W-1_RB2in_S07,0,3,84.7646993001302
W-1_RB2out_S07,1,2,0.0
W-1_RB3-_S07,0,2,97.59716415405273
W-1_RB3+_S07,0,2,98.08559036254883
W-1_RB4-_S07,1,2,0.0
W-1_RB4+_S07,1,2,0.0
W-1_RB4--_S07,1,2,0.0
W-1_RB4++_S07,1,2,0.0
W-1_RB1in_S08,0,2,94.40679550170898
W-1_RB1out_S08,0,2,94.99299621582031
W-1_RB2in_S08,0,3,97.5237299601237
W-1_RB2out_S08,0,2,94.8563346862793
W-1_RB3-_S08,0,2,97.34536743164062
W-1_RB3+_S08,0,2,93.78484344482422
W-1_RB4-_S08,1,2,0.0
W-1_RB4+_S08,1,2,0.0
W-1_RB4--_S08,1,2,0.0
W-1_RB4++_S08,1,2,0.0
W-1_RB1in_S09,0,2,96.08452224731445
W-1_RB1out_S09,0,2,97.0444107055664
W-1_RB2in_S09,0,3,97.48476918538411
W-1_RB2out_S09,0,2,95.92484664916992
W-1_RB3-_S09,0,2,91.648193359375
W-1_RB3+_S09,0,2,94.86803436279297
W-1_RB4_S09,0,2,96.5726203918457
W-1_RB4+_S09,1,2,0.0
W-1_RB4--_S09,1,2,0.0
W-1_RB4++_S09,1,2,0.0
W-1_RB1in_S10,0,2,96.41073226928711
W-1_RB1out_S10,0,2,96.82652282714844
W-1_RB2in_S10,0,3,97.70318094889323
W-1_RB2out_S10,0,2,96.82911682128906
W-1_RB3-_S10,1,2,47.658756256103516
W-1_RB3+_S10,1,2,48.211830139160156
W-1_RB4-_S10,0,2,95.19327926635742
W-1_RB4+_S10,0,2,96.63795852661133
W-1_RB4--_S10,1,2,0.0
W-1_RB4++_S10,1,2,0.0
W-1_RB1in_S11,0,2,96.93386459350586
W-1_RB1out_S11,0,2,97.17616271972656
W-1_RB2in_S11,0,3,92.10489145914714
W-1_RB2out_S11,0,2,97.45642471313477
W-1_RB3-_S11,1,2,0.0
W-1_RB3+_S11,0,2,78.72574234008789
W-1_RB4_S11,0,2,97.09510803222656
W-1_RB4+_S11,1,2,0.0
W-1_RB4--_S11,1,2,0.0
W-1_RB4++_S11,1,2,0.0
W-1_RB1in_S12,0,2,96.37095260620117
W-1_RB1out_S12,0,2,95.31619262695312
W-1_RB2in_S12,0,3,97.39607493082683
W-1_RB2out_S12,0,2,83.64162826538086
W-1_RB3-_S12,0,2,96.8997688293457
W-1_RB3+_S12,1,2,0.0
W-1_RB4-_S12,0,2,97.57680130004883
W-1_RB4+_S12,0,2,89.52238845825195
W-1_RB4--_S12,1,2,0.0
W-1_RB4++_S12,1,2,0.0
W+0_RB1in_S01,0,2,95.06700897216797
W+0_RB1out_S01,0,2,97.46753311157227
W+0_RB2in_S01,0,3,98.25109100341797
W+0_RB2out_S01,0,2,85.3597526550293
W+0_RB3-_S01,0,2,98.25277328491211
W+0_RB3+_S01,0,2,98.01211929321289
W+0_RB4-_S01,1,2,0.0
W+0_RB4+_S01,1,2,0.0
W+0_RB4--_S01,1,2,0.0
W+0_RB4++_S01,1,2,0.0
W+0_RB1in_S02,0,2,89.68328475952148
W+0_RB1out_S02,0,2,98.39505004882812
W+0_RB2in_S02,0,3,97.83981577555339
W+0_RB2out_S02,0,2,96.55435943603516
W+0_RB3-_S02,0,2,91.1017837524414
W+0_RB3+_S02,0,2,96.94953155517578
W+0_RB4-_S02,0,2,94.66521835327148
W+0_RB4+_S02,0,2,85.8827133178711
W+0_RB4--_S02,1,2,0.0
W+0_RB4++_S02,1,2,0.0
W+0_RB1in_S03,0,2,96.11800384521484
W+0_RB1out_S03,0,2,97.68172836303711
W+0_RB2in_S03,0,3,94.35965220133464
W+0_RB2out_S03,0,2,94.13171005249023
W+0_RB3-_S03,0,2,79.28816413879395
W+0_RB3+_S03,0,2,98.1312026977539
W+0_RB4-_S03,0,2,98.44483184814453
W+0_RB4+_S03,0,2,96.98537826538086
W+0_RB4--_S03,1,2,0.0
W+0_RB4++_S03,1,2,0.0
W+0_RB1in_S04,0,2,96.6937370300293
W+0_RB1out_S04,0,2,97.15476989746094
W+0_RB2in_S04,0,3,98.16441599527995
W+0_RB2out_S04,0,2,96.46464920043945
W+0_RB3-_S04,0,2,95.64412307739258
W+0_RB3+_S04,1,2,0.0
W+0_RB4-_S04,0,2,97.04503631591797
W+0_RB4+_S04,0,2,97.11201095581055
W+0_RB4--_S04,0,2,97.71564483642578
W+0_RB4++_S04,0,2,97.07632446289062
W+0_RB1in_S05,0,2,96.94416046142578
W+0_RB1out_S05,0,2,96.98387908935547
W+0_RB2in_S05,0,3,71.7034912109375
W+0_RB2out_S05,0,2,91.91986083984375
W+0_RB3-_S05,0,2,97.75662994384766
W+0_RB3+_S05,0,2,96.40873718261719
W+0_RB4-_S05,0,2,93.50773239135742
W+0_RB4+_S05,0,2,96.29610061645508
W+0_RB4--_S05,1,2,0.0
W+0_RB4++_S05,1,2,0.0
W+0_RB1in_S06,0,2,96.32975006103516
W+0_RB1out_S06,0,2,97.3437614440918
W+0_RB2in_S06,0,3,98.51095835367839
W+0_RB2out_S06,0,2,97.41878128051758
W+0_RB3-_S06,0,2,97.83013916015625
W+0_RB3+_S06,0,2,97.83578491210938
W+0_RB4-_S06,0,2,97.5309944152832
W+0_RB4+_S06,0,2,97.07285690307617
W+0_RB4--_S06,1,2,0.0
W+0_RB4++_S06,1,2,0.0
W+0_RB1in_S07,0,2,96.72546005249023
W+0_RB1out_S07,0,2,95.0257568359375
W+0_RB2in_S07,0,3,98.51221211751302
W+0_RB2out_S07,0,2,94.72015762329102
W+0_RB3-_S07,0,2,98.06575393676758
W+0_RB3+_S07,0,2,98.41315460205078
W+0_RB4-_S07,1,2,0.0
W+0_RB4+_S07,1,2,0.0
W+0_RB4--_S07,1,2,0.0
W+0_RB4++_S07,1,2,0.0
W+0_RB1in_S08,0,2,93.52904891967773
W+0_RB1out_S08,0,2,97.4429817199707
W+0_RB2in_S08,0,3,98.18826802571614
W+0_RB2out_S08,0,2,97.07942199707031
W+0_RB3-_S08,0,2,97.17670822143555
W+0_RB3+_S08,0,2,91.92964935302734
W+0_RB4-_S08,0,2,96.35620880126953
W+0_RB4+_S08,0,2,97.90188980102539
W+0_RB4--_S08,1,2,0.0
W+0_RB4++_S08,1,2,0.0
W+0_RB1in_S09,0,2,94.97538757324219
W+0_RB1out_S09,0,2,94.3714485168457
W+0_RB2in_S09,0,3,98.01736958821614
W+0_RB2out_S09,0,2,96.69964981079102
W+0_RB3-_S09,0,2,98.7027359008789
W+0_RB3+_S09,0,2,97.95075225830078
W+0_RB4_S09,0,2,95.66763305664062
W+0_RB4+_S09,1,2,0.0
W+0_RB4--_S09,1,2,0.0
W+0_RB4++_S09,1,2,0.0
W+0_RB1in_S10,0,2,96.75709915161133
W+0_RB1out_S10,0,2,97.49092483520508
W+0_RB2in_S10,0,3,95.80757649739583
W+0_RB2out_S10,0,2,95.33552551269531
W+0_RB3-_S10,0,2,91.42987060546875
W+0_RB3+_S10,0,2,97.49676513671875
W+0_RB4-_S10,0,2,97.09074401855469
W+0_RB4+_S10,0,2,93.45473098754883
W+0_RB4--_S10,1,2,0.0
W+0_RB4++_S10,1,2,0.0
W+0_RB1in_S11,0,2,94.70474624633789
W+0_RB1out_S11,0,2,96.23737335205078
W+0_RB2in_S11,0,3,97.04199727376302
W+0_RB2out_S11,0,2,94.64110946655273
W+0_RB3-_S11,0,2,81.77209091186523
W+0_RB3+_S11,0,2,98.39766693115234
W+0_RB4_S11,0,2,93.32153701782227
W+0_RB4+_S11,1,2,0.0
W+0_RB4--_S11,1,2,0.0
W+0_RB4++_S11,1,2,0.0
W+0_RB1in_S12,0,2,96.09171295166016
W+0_RB1out_S12,0,2,98.01763534545898
W+0_RB2in_S12,0,3,97.58624267578125
W+0_RB2out_S12,0,2,96.60445404052734
W+0_RB3-_S12,0,2,97.8447265625
W+0_RB3+_S12,0,2,97.90203475952148
W+0_RB4-_S12,0,2,95.25373458862305
W+0_RB4+_S12,0,2,98.07450485229492
W+0_RB4--_S12,1,2,0.0
W+0_RB4++_S12,1,2,0.0
W+1_RB1in_S01,0,2,95.23433685302734
W+1_RB1out_S01,0,2,90.98460006713867
W+1_RB2in_S01,0,3,85.45118967692058
W+1_RB2out_S01,0,2,97.53893280029297
W+1_RB3-_S01,0,2,96.87582397460938
W+1_RB3+_S01,0,2,97.79914855957031
W+1_RB4-_S01,0,2,88.97792434692383
W+1_RB4+_S01,0,2,97.32318496704102
W+1_RB4--_S01,1,2,0.0
W+1_RB4++_S01,1,2,0.0
W+1_RB1in_S02,0,2,96.43356323242188
W+1_RB1out_S02,0,2,96.93950653076172
W+1_RB2in_S02,0,3,95.93641408284505
W+1_RB2out_S02,0,2,95.81377792358398
W+1_RB3-_S02,0,2,97.96975326538086
W+1_RB3+_S02,0,2,92.9444694519043
W+1_RB4-_S02,0,2,96.8256607055664
W+1_RB4+_S02,0,2,97.81319808959961
W+1_RB4--_S02,1,2,0.0
W+1_RB4++_S02,1,2,0.0
W+1_RB1in_S03,0,2,96.6667366027832
W+1_RB1out_S03,0,2,85.28418731689453
W+1_RB2in_S03,0,3,97.28714243570964
W+1_RB2out_S03,0,2,95.18263244628906
W+1_RB3-_S03,0,2,98.11258697509766
W+1_RB3+_S03,0,2,97.97400665283203
W+1_RB4-_S03,0,2,97.50089263916016
W+1_RB4+_S03,0,2,97.38638305664062
W+1_RB4--_S03,1,2,0.0
W+1_RB4++_S03,1,2,0.0
W+1_RB1in_S04,0,2,97.3365707397461
W+1_RB1out_S04,0,2,97.35581588745117
W+1_RB2in_S04,0,3,82.30797322591145
W+1_RB2out_S04,0,2,96.35194396972656
W+1_RB3-_S04,0,2,98.04219818115234
W+1_RB3+_S04,0,2,98.06063842773438
W+1_RB4-_S04,1,2,0.0
W+1_RB4+_S04,1,2,0.0
W+1_RB4--_S04,1,2,0.0
W+1_RB4++_S04,1,2,0.0
W+1_RB1in_S05,0,2,91.76818466186523
W+1_RB1out_S05,0,2,92.5030403137207
W+1_RB2in_S05,0,3,97.97484334309895
