chamber,contains_zero_roll,rolls_count,fid_eff_ch_level
W-2_RB1in_S01,0,2,96.5911865234375
W-2_RB1out_S01,0,2,97.38248443603516
W-2_RB2in_S01,0,2,98.33665466308594
W-2_RB2out_S01,0,3,98.61695861816406
W-2_RB3-_S01,0,2,98.62492370605469
W-2_RB3+_S01,0,2,97.94731140136719
W-2_RB4-_S01,1,2,0.0
W-2_RB4+_S01,0,2,92.85714340209961
W-2_RB4--_S01,1,2,0.0
W-2_RB4++_S01,1,2,0.0
W-2_RB1in_S02,0,2,95.63491821289062
W-2_RB1out_S02,0,2,97.36605072021484
W-2_RB2in_S02,0,2,97.43242263793945
W-2_RB2out_S02,0,3,98.2721659342448
W-2_RB3-_S02,0,2,97.52742004394531
W-2_RB3+_S02,1,2,0.0
W-2_RB4-_S02,0,2,94.11764907836914
W-2_RB4+_S02,0,2,98.78048706054688
W-2_RB4--_S02,1,2,0.0
W-2_RB4++_S02,1,2,0.0
W-2_RB1in_S03,0,2,97.38011932373047
W-2_RB1out_S03,0,2,98.29055404663086
W-2_RB2in_S03,0,2,95.74649429321289
W-2_RB2out_S03,0,3,98.06329345703125
W-2_RB3-_S03,1,2,0.0
W-2_RB3+_S03,0,2,88.17372131347656
W-2_RB4-_S03,0,2,91.79002380371094
W-2_RB4+_S03,0,2,97.36065673828125
W-2_RB4--_S03,1,2,0.0
W-2_RB4++_S03,1,2,0.0
W-2_RB1in_S04,0,2,97.4649658203125
W-2_RB1out_S04,0,2,97.94307327270508
W-2_RB2in_S04,0,2,97.46525192260742
W-2_RB2out_S04,0,3,92.98795572916667
W-2_RB3-_S04,0,2,96.5095100402832
W-2_RB3+_S04,1,2,0.0
W-2_RB4-_S04,1,2,0.0
W-2_RB4+_S04,0,2,96.71650314331055
W-2_RB4--_S04,0,2,96.38496780395508
W-2_RB4++_S04,0,2,86.16267013549805
W-2_RB1in_S05,0,2,97.71801376342773
W-2_RB1out_S05,0,2,96.64545822143555
W-2_RB2in_S05,0,2,94.93130874633789
W-2_RB2out_S05,0,3,98.29012298583984
W-2_RB3-_S05,0,2,98.46773910522461
W-2_RB3+_S05,0,2,97.67539596557617
W-2_RB4-_S05,1,2,0.0
W-2_RB4+_S05,1,2,0.0
W-2_RB4--_S05,1,2,0.0
W-2_RB4++_S05,1,2,0.0
W-2_RB1in_S06,0,2,97.84379196166992
W-2_RB1out_S06,0,2,97.07212829589844
W-2_RB2in_S06,0,2,98.89546203613281
W-2_RB2out_S06,0,3,98.35091654459636
W-2_RB3-_S06,0,2,97.5839614868164
W-2_RB3+_S06,0,2,97.81079864501953
W-2_RB4-_S06,0,2,97.86123657226562
W-2_RB4+_S06,0,2,98.57143020629883
W-2_RB4--_S06,1,2,0.0
W-2_RB4++_S06,1,2,0.0
W-2_RB1in_S07,0,2,97.40896987915039
W-2_RB1out_S07,0,2,98.12683486938477
W-2_RB2in_S07,0,2,90.6949577331543
W-2_RB2out_S07,0,3,98.04215240478516
W-2_RB3-_S07,0,2,98.0964584350586
W-2_RB3+_S07,0,2,97.84818649291992
W-2_RB4-_S07,1,2,0.0
W-2_RB4+_S07,0,2,100.0
W-2_RB4--_S07,1,2,0.0
W-2_RB4++_S07,1,2,0.0
W-2_RB1in_S08,0,2,96.31649017333984
W-2_RB1out_S08,0,2,80.7894287109375
W-2_RB2in_S08,0,2,96.78264236450195
W-2_RB2out_S08,0,3,98.60624186197917
W-2_RB3-_S08,0,2,98.8150634765625
W-2_RB3+_S08,0,2,98.67320251464844
W-2_RB4-_S08,0,2,92.97948455810547
W-2_RB4+_S08,1,2,0.0
W-2_RB4--_S08,1,2,0.0
W-2_RB4++_S08,1,2,0.0
W-2_RB1in_S09,0,2,96.50418472290039
W-2_RB1out_S09,0,2,97.38615417480469
W-2_RB2in_S09,0,2,97.61372756958008
W-2_RB2out_S09,0,3,96.66219584147136
W-2_RB3-_S09,0,2,98.28654098510742
W-2_RB3+_S09,0,2,94.14674758911133
W-2_RB4_S09,0,2,97.84180450439453
W-2_RB4+_S09,1,2,0.0
W-2_RB4--_S09,1,2,0.0
W-2_RB4++_S09,1,2,0.0
W-2_RB1in_S10,0,2,97.07906723022461
W-2_RB1out_S10,0,2,95.44222640991211
W-2_RB2in_S10,0,2,99.11544418334961
W-2_RB2out_S10,0,3,98.1974589029948
W-2_RB3-_S10,0,2,92.66913223266602
W-2_RB3+_S10,0,2,98.03537368774414
W-2_RB4-_S10,0,2,98.43063735961914
W-2_RB4+_S10,0,2,97.9210319519043
W-2_RB4--_S10,1,2,0.0
W-2_RB4++_S10,1,2,0.0
W-2_RB1in_S11,0,2,87.9901237487793
W-2_RB1out_S11,0,2,96.23055267333984
W-2_RB2in_S11,0,2,98.16585159301758
W-2_RB2out_S11,0,3,98.32126363118489
W-2_RB3-_S11,0,2,97.30228042602539
W-2_RB3+_S11,0,2,98.37557983398438
W-2_RB4_S11,0,2,98.37245559692383
W-2_RB4+_S11,1,2,0.0
W-2_RB4--_S11,1,2,0.0
W-2_RB4++_S11,1,2,0.0
W-2_RB1in_S12,0,2,97.63239288330078
W-2_RB1out_S12,0,2,97.21564865112305
W-2_RB2in_S12,0,2,96.6390380859375
W-2_RB2out_S12,0,3,98.39267476399739
W-2_RB3-_S12,0,2,99.75984191894531
W-2_RB3+_S12,1,2,0.0
W-2_RB4-_S12,0,2,98.77063369750977
W-2_RB4+_S12,0,2,98.22551727294922
W-2_RB4--_S12,1,2,0.0
W-2_RB4++_S12,1,2,0.0
W-1_RB1in_S01,0,2,97.93790435791016
W-1_RB1out_S01,0,2,98.16254425048828
W-1_RB2in_S01,0,3,97.72667694091797
W-1_RB2out_S01,0,2,95.68410873413086
W-1_RB3-_S01,1,2,0.0
W-1_RB3+_S01,1,2,0.0
W-1_RB4-_S01,1,2,0.0
W-1_RB4+_S01,0,2,98.38479614257812
W-1_RB4--_S01,1,2,0.0
W-1_RB4++_S01,1,2,0.0
W-1_RB1in_S02,0,2,94.81980895996094
W-1_RB1out_S02,0,2,96.00717544555664
W-1_RB2in_S02,0,3,98.62358856201172
W-1_RB2out_S02,0,2,94.84452056884766
W-1_RB3-_S02,0,2,96.56860733032227
W-1_RB3+_S02,0,2,97.91202926635742
W-1_RB4-_S02,1,2,0.0
W-1_RB4+_S02,1,2,0.0
W-1_RB4--_S02,1,2,0.0
W-1_RB4++_S02,1,2,0.0
W-1_RB1in_S03,0,2,96.25273513793945
W-1_RB1out_S03,0,2,97.95269393920898
W-1_RB2in_S03,0,3,98.64241790771484
W-1_RB2out_S03,0,2,94.7645263671875
W-1_RB3-_S03,0,2,98.26111221313477
W-1_RB3+_S03,0,2,98.02726745605469
W-1_RB4-_S03,0,2,97.12776565551758
W-1_RB4+_S03,0,2,98.30102157592773
W-1_RB4--_S03,1,2,0.0
W-1_RB4++_S03,1,2,0.0
W-1_RB1in_S04,0,2,97.54253005981445
W-1_RB1out_S04,1,2,47.65530014038086
W-1_RB2in_S04,0,3,91.35794576009114
W-1_RB2out_S04,1,2,0.0
W-1_RB3-_S04,0,2,97.20344161987305
W-1_RB3+_S04,0,2,96.32561492919922
W-1_RB4-_S04,0,2,98.55871963500977
W-1_RB4+_S04,1,2,0.0
W-1_RB4--_S04,0,2,96.31181716918945
W-1_RB4++_S04,1,2,0.0
W-1_RB1in_S05,0,2,95.762451171875
W-1_RB1out_S05,0,2,98.12355422973633
W-1_RB2in_S05,0,3,97.67514292399089
W-1_RB2out_S05,0,2,97.7429313659668
W-1_RB3-_S05,0,2,98.39673233032227
W-1_RB3+_S05,0,2,98.26298141479492
W-1_RB4-_S05,1,2,0.0
W-1_RB4+_S05,1,2,0.0
W-1_RB4--_S05,1,2,0.0
W-1_RB4++_S05,1,2,0.0
W-1_RB1in_S06,0,2,97.23759460449219
W-1_RB1out_S06,0,2,96.99795532226562
W-1_RB2in_S06,0,3,95.43271128336589
W-1_RB2out_S06,0,2,96.90450668334961
W-1_RB3-_S06,0,2,95.05973815917969
W-1_RB3+_S06,0,2,91.37332153320312
W-1_RB4-_S06,0,2,65.13071250915527
W-1_RB4+_S06,0,2,97.76565551757812
W-1_RB4--_S06,1,2,0.0
W-1_RB4++_S06,1,2,0.0
W-1_RB1in_S07,0,2,98.43352890014648
W-1_RB1out_S07,0,2,98.18476104736328
W-1_RB2in_S07,0,3,82.7009048461914
W-1_RB2out_S07,1,2,0.0
W-1_RB3-_S07,0,2,98.1910285949707
W-1_RB3+_S07,0,2,98.40937042236328
W-1_RB4-_S07,1,2,0.0
W-1_RB4+_S07,1,2,0.0
W-1_RB4--_S07,1,2,0.0
W-1_RB4++_S07,1,2,0.0
W-1_RB1in_S08,0,2,95.11784362792969
W-1_RB1out_S08,0,2,96.02474975585938
W-1_RB2in_S08,0,3,97.52881622314453
W-1_RB2out_S08,0,2,95.38703918457031
W-1_RB3-_S08,0,2,97.0339126586914
W-1_RB3+_S08,0,2,93.74272537231445
W-1_RB4-_S08,1,2,0.0
W-1_RB4+_S08,1,2,0.0
W-1_RB4--_S08,1,2,0.0
W-1_RB4++_S08,1,2,0.0
W-1_RB1in_S09,0,2,96.2646713256836
W-1_RB1out_S09,0,2,97.65583038330078
W-1_RB2in_S09,0,3,97.26670328776042
W-1_RB2out_S09,0,2,95.97806549072266
W-1_RB3-_S09,0,2,91.3176040649414
W-1_RB3+_S09,0,2,95.13343811035156
W-1_RB4_S09,0,2,96.42316436767578
W-1_RB4+_S09,1,2,0.0
W-1_RB4--_S09,1,2,0.0
W-1_RB4++_S09,1,2,0.0
W-1_RB1in_S10,0,2,97.31164932250977
W-1_RB1out_S10,0,2,97.54829406738281
W-1_RB2in_S10,0,3,97.8595199584961
W-1_RB2out_S10,0,2,97.76611328125
W-1_RB3-_S10,1,2,47.83715057373047
W-1_RB3+_S10,1,2,48.48336410522461
W-1_RB4-_S10,0,2,95.45836639404297
W-1_RB4+_S10,0,2,96.15182495117188
W-1_RB4--_S10,1,2,0.0
W-1_RB4++_S10,1,2,0.0
W-1_RB1in_S11,0,2,97.82873153686523
W-1_RB1out_S11,0,2,97.65447616577148
W-1_RB2in_S11,0,3,92.08093516031902
W-1_RB2out_S11,0,2,97.58202362060547
W-1_RB3-_S11,1,2,0.0
W-1_RB3+_S11,0,2,79.60485076904297
W-1_RB4_S11,0,2,97.52857971191406
W-1_RB4+_S11,1,2,0.0
W-1_RB4--_S11,1,2,0.0
W-1_RB4++_S11,1,2,0.0
W-1_RB1in_S12,0,2,96.80070114135742
W-1_RB1out_S12,0,2,96.01320266723633
W-1_RB2in_S12,0,3,98.09267679850261
W-1_RB2out_S12,0,2,83.72782516479492
W-1_RB3-_S12,0,2,97.37821578979492
W-1_RB3+_S12,1,2,0.0
W-1_RB4-_S12,0,2,97.2280158996582
W-1_RB4+_S12,0,2,90.74042892456055
W-1_RB4--_S12,1,2,0.0
W-1_RB4++_S12,1,2,0.0
W+0_RB1in_S01,0,2,95.60418701171875
W+0_RB1out_S01,0,2,97.02641677856445
W+0_RB2in_S01,0,3,98.25722757975261
W+0_RB2out_S01,0,2,84.9266357421875
