run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency,contains_zero_roll,rolls_count,fid_eff_ch_level
325117,W-2_RB1in_S01,-2,1,1,1.92837,15560,0.00260255,1.00523,1.93846,542,Col,59.8288097385,0,2,96.5911865234375
325117,W-2_RB1out_S01,-2,1,1,1.86727,13590,0.00398461,1.00511,1.87681,542,Col,64.5067596435,0,2,97.38248443603516
325117,W-2_RB2in_S01,-2,1,2,2.04273,16205,0.00441195,1.00418,2.05127,542,Col,85.951461792,0,2,98.33665466308594
325117,W-2_RB2out_S01,-2,1,2,1.87885,13926,0.0111981,1.00311,1.88469,542,Col,88.03876495333334,0,3,98.61695861816406
325117,W-2_RB3+_S01,-2,1,3,1.88953,6517,0.00608872,1.00145,1.89228,542,Col,93.215961456,0,2,97.9473114013672
325117,W-2_RB3-_S01,-2,1,3,1.89991,6663,0.00313658,1.00086,1.90154,542,Col,93.4683570865,0,2,98.62492370605467
325117,W-2_RB4+_S01,-2,1,4,1.93556,6488,0.00238663,1.0009,1.93729,542,Col,55.5555553435,0,2,92.8571434020996
325117,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB1in_S02,-2,2,1,1.97407,17052,0.00324149,1.00454,1.98302,542,Col,60.712934494,0,2,95.63491821289062
325117,W-2_RB1out_S02,-2,2,1,2.12103,16684,0.00330536,1.00434,2.13023,542,Col,66.508178711,0,2,97.36605072021484
325117,W-2_RB2in_S02,-2,2,2,1.81878,15305,0.0040404,1.0043,1.82659,542,Col,85.736820221,0,2,97.43242263793944
325117,W-2_RB2out_S02,-2,2,2,2.30709,17700,0.012122,1.00327,2.31463,542,Col,87.38695526133334,0,3,98.2721659342448
325117,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB3-_S02,-2,2,3,1.67881,5943,0.00423729,1.00085,1.68024,542,Col,92.8028259275,0,2,97.52742004394533
325117,W-2_RB4+_S02,-2,2,4,1.81233,6557,0.00525152,1.00249,1.81685,542,Col,50.0,0,2,98.78048706054688
325117,W-2_RB4-_S02,-2,2,4,1.70757,5343,0.00607223,1.0,1.70757,542,Col,21.428571701,0,2,94.11764907836914
325117,W-2_RB1in_S03,-2,3,1,2.03987,17141,0.00404617,1.0031,2.0462,542,Col,60.3815078735,0,2,97.38011932373048
325117,W-2_RB1out_S03,-2,3,1,2.09334,15945,0.00630169,1.00329,2.10024,542,Col,65.02804756149999,0,2,98.29055404663086
325117,W-2_RB2in_S03,-2,3,2,2.16511,17336,0.0053703,1.00363,2.17298,542,Col,82.2734375,0,2,95.74649429321288
325117,W-2_RB2out_S03,-2,3,2,2.08027,15783,0.0030315,1.00238,2.08522,542,Col,87.94287617999998,0,3,98.06329345703124
325117,W-2_RB3+_S03,-2,3,3,1.63899,5112,0.00256492,1.00096,1.64056,542,Col,82.8847694395,0,2,88.17372131347656
325117,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB4+_S03,-2,3,4,1.70324,5619,0.00212186,1.00091,1.70479,542,Col,66.666667938,0,2,97.36065673828124
325117,W-2_RB4-_S03,-2,3,4,1.9273,6495,0.0127596,1.00119,1.92959,542,Col,35.714286804,0,2,91.79002380371094
325117,W-2_RB1in_S04,-2,4,1,2.06551,16617,0.00397763,1.00462,2.07505,542,Col,59.9715003965,0,2,97.4649658203125
325117,W-2_RB1out_S04,-2,4,1,2.33602,17102,0.00696626,1.00343,2.34402,542,Col,65.040014267,0,2,97.94307327270508
325117,W-2_RB2in_S04,-2,4,2,2.05835,16156,0.0121035,1.00371,2.06598,542,Col,83.6587867735,0,2,97.46525192260742
325117,W-2_RB2out_S04,-2,4,2,1.92644,13146,0.00586166,1.00294,1.9321,542,Col,82.66057586666666,0,3,92.98795572916669
325117,W-2_RB3+_S04,-2,4,3,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB3-_S04,-2,4,3,1.84891,6449,0.00286697,1.00086,1.8505,542,Col,92.312736511,0,2,96.5095100402832
325117,W-2_RB4++_S04,-2,4,4,1.74407,3748,-0.000465333,1.00047,1.74488,542,Col,76.66214370750001,0,2,86.16267013549805
325117,W-2_RB4+_S04,-2,4,4,1.60687,4353,0.00221484,1.00074,1.60805,542,Col,94.2445259095,0,2,96.71650314331056
325117,W-2_RB4--_S04,-2,4,4,1.60696,3463,0.00556845,1.00139,1.6092,542,Col,68.1818180085,0,2,96.38496780395508
325117,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB1in_S05,-2,5,1,2.16999,17872,0.00522098,1.00439,2.17951,542,Col,59.6693439485,0,2,97.71801376342772
325117,W-2_RB1out_S05,-2,5,1,1.97795,14979,0.00462168,1.00464,1.98713,542,Col,65.501110077,0,2,96.64545822143556
325117,W-2_RB2in_S05,-2,5,2,1.94475,15346,0.282347,1.00471,1.95391,542,Col,82.68893051149999,0,2,94.93130874633788
325117,W-2_RB2out_S05,-2,5,2,2.00932,14877,0.00904916,1.0038,2.01695,542,Col,87.16792043066665,0,3,98.29012298583984
325117,W-2_RB3+_S05,-2,5,3,1.92105,6570,0.00760234,1.00117,1.9233,542,Col,92.080974579,0,2,97.67539596557616
325117,W-2_RB3-_S05,-2,5,3,1.81997,6490,0.00224341,1.00056,1.82099,542,Col,93.8987083435,0,2,98.4677391052246
325117,W-2_RB4+_S05,-2,5,4,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
325117,W-2_RB1in_S06,-2,6,1,2.06506,16727,0.00716049,1.00384,2.073,542,Col,60.492393494,0,2,97.84379196166992
325117,W-2_RB1out_S06,-2,6,1,2.32249,17212,0.00553232,1.00379,2.3313,542,Col,66.428422928,0,2,97.07212829589844
325117,W-2_RB2in_S06,-2,6,2,2.20288,17764,0.00880456,1.00323,2.21,542,Col,86.3012237545,0,2,98.8954620361328
325117,W-2_RB2out_S06,-2,6,2,1.95699,14423,0.00515604,1.00245,1.96178,542,Col,87.90818023700001,0,3,98.35091654459636
325117,W-2_RB3+_S06,-2,6,3,1.70899,5949,0.00430911,1.00057,1.70997,542,Col,93.484390259,0,2,97.81079864501952
325117,W-2_RB3-_S06,-2,6,3,1.67134,5955,0.000841987,1.00056,1.67228,542,Col,93.4002914425,0,2,97.5839614868164
325117,W-2_RB4+_S06,-2,6,4,1.86517,6142,0.00759186,1.00091,1.86687,542,Col,66.666666031,0,2,98.57143020629884
325117,W-2_RB4-_S06,-2,6,4,1.74433,5997,0.00203607,1.00116,1.74636,542,Col,70.833332062,0,2,97.86123657226562
325117,W-2_RB1in_S07,-2,7,1,2.09248,16608,0.0049137,1.00456,2.10201,542,Col,58.957590103,0,2,97.4089698791504
325117,W-2_RB1out_S07,-2,7,1,1.89112,13860,0.00504844,1.00439,1.89941,542,Col,64.104101181,0,2,98.12683486938477
325117,W-2_RB2in_S07,-2,7,2,2.00643,14655,0.0024644,1.00371,2.01388,542,Col,79.31759643550001,0,2,90.6949577331543
325117,W-2_RB2out_S07,-2,7,2,1.82996,13388,0.00560416,1.00398,1.83724,542,Col,86.85521443666669,0,3,98.04215240478516
325117,W-2_RB3+_S07,-2,7,3,2.28217,7716,0.00650695,1.00118,2.28487,542,Col,92.327468872,0,2,97.84818649291992
325117,W-2_RB3-_S07,-2,7,3,2.00683,7050,0.00569314,1.00228,2.01141,542,Col,92.956287384,0,2,98.0964584350586
325117,W-2_RB4+_S07,-2,7,4,1.87129,5801,0.000322581,1.00129,1.87371,542,Col,75.0,0,2,100.0
325117,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,542,Col,0.0,1,2,0.0
