run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency,contains_zero_roll,rolls_count,fid_eff_ch_level
321990,W-2_RB1in_S01,-2,1,1,1.88944,14732,0.00269334,1.00296,1.89503,480,Col,59.713171005,0,2,96.58951950073242
321990,W-2_RB1out_S01,-2,1,1,1.84949,13050,0.00368481,1.0017,1.85264,480,Col,64.274318695,0,2,97.68635940551758
321990,W-2_RB2in_S01,-2,1,2,2.00352,15365,0.00586778,1.00353,2.0106,480,Col,84.7473449705,0,2,98.4371223449707
321990,W-2_RB2out_S01,-2,1,2,1.84548,12994,0.0100838,1.00199,1.84915,480,Col,86.76205698633333,0,3,98.37203725179036
321990,W-2_RB3+_S01,-2,1,3,1.86563,6248,0.00537474,1.0006,1.86675,480,Col,93.066997528,0,2,98.5915069580078
321990,W-2_RB3-_S01,-2,1,3,1.87309,6140,0.00122026,1.0,1.87309,480,Col,93.4479522705,0,2,98.06809616088869
321990,W-2_RB4+_S01,-2,1,4,1.88435,6094,0.00247372,1.00093,1.8861,480,Col,31.25,0,2,90.0
321990,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,480,Col,0.0,1,2,0.0
321990,W-2_RB1in_S02,-2,2,1,1.94557,16335,0.0127442,1.00503,1.95535,480,Col,60.1166858675,0,2,96.67877578735352
321990,W-2_RB1out_S02,-2,2,1,2.14887,16426,0.00497122,1.00381,2.15706,480,Col,64.8481388095,0,2,97.6805648803711
321990,W-2_RB2in_S02,-2,2,2,1.8087,14636,0.00222442,1.00347,1.81498,480,Col,85.0503387455,0,2,98.05323028564452
321990,W-2_RB2out_S02,-2,2,2,2.30982,16961,0.00980526,1.00301,2.31676,480,Col,87.43473052966668,0,3,97.74344889322916
321990,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,480,Col,0.0,1,2,0.0
321990,W-2_RB3-_S02,-2,2,3,1.64066,5657,0.00435035,1.00087,1.64209,480,Col,92.7900505065,0,2,96.8794059753418
321990,W-2_RB4+_S02,-2,2,4,1.81923,6129,0.000890472,1.00178,1.82248,480,Col,73.333332062,0,2,95.2666015625
321990,W-2_RB4-_S02,-2,2,4,1.73167,5221,0.00895522,1.00033,1.73225,480,Col,62.0,0,2,96.5517234802246
321990,W-2_RB1in_S03,-2,3,1,2.09959,16507,0.0063597,1.00396,2.1079,480,Col,58.622785568,0,2,97.56425094604492
321990,W-2_RB1out_S03,-2,3,1,2.1106,15133,0.00767085,1.00308,2.1171,480,Col,62.7964725495,0,2,97.97491455078124
321990,W-2_RB2in_S03,-2,3,2,2.14507,16309,0.00762857,1.00409,2.15386,480,Col,81.77275848400001,0,2,95.11516571044922
321990,W-2_RB2out_S03,-2,3,2,2.01088,14414,0.00697545,1.00406,2.01905,480,Col,86.42093912766666,0,3,97.9857432047526
321990,W-2_RB3+_S03,-2,3,3,1.61914,4838,0.00635877,1.00067,1.62023,480,Col,82.51305770900001,0,2,88.89624786376953
321990,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,480,Col,0.0,1,2,0.0
321990,W-2_RB4+_S03,-2,3,4,1.69332,5251,0.00386972,1.00097,1.69496,480,Col,80.29411697399999,0,2,96.93685150146484
321990,W-2_RB4-_S03,-2,3,4,1.84295,5621,0.00557377,1.00066,1.84416,480,Col,37.0,0,2,92.22054290771484
321990,W-2_RB1in_S04,-2,4,1,2.05484,15662,0.00787195,1.00316,2.06133,480,Col,57.851097107,0,2,96.96492004394533
321990,W-2_RB1out_S04,-2,4,1,2.30359,16109,0.00543401,1.00301,2.31053,480,Col,63.5243415835,0,2,97.3933563232422
321990,W-2_RB2in_S04,-2,4,2,2.01077,14930,0.0175084,1.00365,2.01811,480,Col,84.035957336,0,2,96.78160095214844
321990,W-2_RB2out_S04,-2,4,2,1.92298,12284,0.00876644,1.00204,1.9269,480,Col,81.24646250400001,0,3,93.4710947672526
321990,W-2_RB3+_S04,-2,4,3,2.32296,7912,0.00616559,1.00176,2.32706,480,Col,94.082008362,0,2,99.60443115234376
321990,W-2_RB3-_S04,-2,4,3,1.82029,5814,0.00375704,1.00063,1.82143,480,Col,92.0762329105,0,2,96.43176651000977
321990,W-2_RB4++_S04,-2,4,4,1.74879,3606,0.000484966,1.0,1.74879,480,Col,79.85714340199999,0,2,88.06221008300781
321990,W-2_RB4+_S04,-2,4,4,1.61844,4072,0.00158983,1.00119,1.62037,480,Col,94.6037483215,0,2,96.95673751831056
321990,W-2_RB4--_S04,-2,4,4,1.60058,3334,0.000480077,1.00048,1.60134,480,Col,69.8076934815,0,2,96.79443740844728
321990,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,480,Col,0.0,1,2,0.0
321990,W-2_RB1in_S05,-2,5,1,2.13986,16402,0.00313112,1.00446,2.14939,480,Col,58.423656464,0,2,97.96156692504884
321990,W-2_RB1out_S05,-2,5,1,1.94941,13603,0.00300946,1.00475,1.95868,480,Col,63.0698242185,0,2,97.3068504333496
321990,W-2_RB2in_S05,-2,5,2,1.908,14373,0.279172,1.00373,1.91512,480,Col,81.9531974795,0,2,95.68604278564452
321990,W-2_RB2out_S05,-2,5,2,2.01304,14051,0.0106017,1.00259,2.01824,480,Col,86.593322754,0,3,97.83849080403644
321990,W-2_RB3+_S05,-2,5,3,1.85778,5865,0.00570162,1.00095,1.85954,480,Col,91.9100761415,0,2,96.56703567504884
321990,W-2_RB3-_S05,-2,5,3,1.82363,6235,0.00848201,1.00117,1.82577,480,Col,93.0715942385,0,2,97.64415740966795
321990,W-2_RB4+_S05,-2,5,4,1.83515,5377,0.0116041,1.00102,1.83703,480,Col,66.666666031,0,2,96.48609924316406
321990,W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,480,Col,0.0,1,2,0.0
321990,W-2_RB1in_S06,-2,6,1,2.02437,16029,0.00543066,1.00393,2.03233,480,Col,60.218093872,0,2,97.41484832763672
321990,W-2_RB1out_S06,-2,6,1,2.31204,16686,0.00277123,1.00306,2.31911,480,Col,65.363761902,0,2,97.07242202758788
321990,W-2_RB2in_S06,-2,6,2,2.16259,16693,0.00893898,1.0039,2.17102,480,Col,84.89268493649999,0,2,98.82513809204102
321990,W-2_RB2out_S06,-2,6,2,1.98721,13988,0.00326751,1.00314,1.99344,480,Col,87.08917236299999,0,3,98.42201232910156
321990,W-2_RB3+_S06,-2,6,3,1.70823,5521,-0.000618812,1.00062,1.70929,480,Col,93.224342346,0,2,97.03588485717772
321990,W-2_RB3-_S06,-2,6,3,1.69881,5832,0.00145645,1.00058,1.6998,480,Col,92.8626213075,0,2,97.46629333496094
321990,W-2_RB4+_S06,-2,6,4,1.81874,5589,0.00585747,1.00098,1.82052,480,Col,20.0,0,2,98.3870964050293
321990,W-2_RB4-_S06,-2,6,4,1.71036,5350,0.00383632,1.00224,1.71419,480,Col,46.875,0,2,94.8628273010254
321990,W-2_RB1in_S07,-2,7,1,2.10105,16384,0.00410362,1.00477,2.11107,480,Col,58.1523017885,0,2,97.1266632080078
321990,W-2_RB1out_S07,-2,7,1,1.8885,13346,0.00764115,1.00426,1.89655,480,Col,63.6943073275,0,2,97.89760208129884
321990,W-2_RB2in_S07,-2,7,2,1.97807,13619,0.00232389,1.00438,1.98673,480,Col,77.5053749085,0,2,89.66825485229492
321990,W-2_RB2out_S07,-2,7,2,1.80064,12428,0.0108664,1.00378,1.80745,480,Col,85.704574585,0,3,97.9565887451172
321990,W-2_RB3+_S07,-2,7,3,2.24259,7340,0.00855484,1.00092,2.24465,480,Col,91.865650177,0,2,96.88132858276369
321990,W-2_RB3-_S07,-2,7,3,2.04221,6774,0.00482364,1.00121,2.04467,480,Col,93.3626174925,0,2,97.80757904052734
321990,W-2_RB4+_S07,-2,7,4,1.92886,5748,0.00536913,1.0,1.92886,480,Col,37.0,0,2,95.45454788208008
321990,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,480,Col,0.0,1,2,0.0
321990,W-2_RB1in_S08,-2,8,1,1.96235,14855,0.00356671,1.00398,1.97016,480,Col,54.834941864,0,2,96.5734519958496
321990,W-2_RB1out_S08,-2,8,1,1.47054,8910,0.00676679,1.00381,1.47614,480,Col,52.2084236145,0,2,81.47338104248047
321990,W-2_RB2in_S08,-2,8,2,2.13655,16398,0.0114658,1.00445,2.14605,480,Col,84.1571998595,0,2,97.0844268798828
321990,W-2_RB2out_S08,-2,8,2,1.95319,13520,0.00534528,1.00261,1.95829,480,Col,86.40133921333332,0,3,98.14859008789062
321990,W-2_RB3+_S08,-2,8,3,1.69403,5841,0.0037703,1.00029,1.69452,480,Col,93.636631012,0,2,98.60240173339844
321990,W-2_RB3-_S08,-2,8,3,2.06719,6892,0.0,1.0009,2.06905,480,Col,93.8238105775,0,2,98.33020401000977
