chamber,fid_eff_roll_level
W-2_RB1in_B_S01,95.10368347167969
W-2_RB1in_F_S01,95.62963104248047
W-2_RB1out_B_S01,95.96211242675781
W-2_RB1out_F_S01,98.77786254882812
W-2_RB2in_B_S01,97.89972686767578
W-2_RB2in_F_S01,98.59154510498047
W-2_RB2out_M_S01,99.16805267333984
W-2_RB2out_B_S01,97.9514389038086
W-2_RB2out_F_S01,98.62843322753906
W-2_RB3-_B_S01,97.74919891357422
W-2_RB3-_F_S01,99.09584045410156
W-2_RB3+_B_S01,98.12108612060547
W-2_RB3+_F_S01,98.61259460449219
W-2_RB4-_B_S01,0.0
W-2_RB4-_F_S01,0.0
W-2_RB4+_B_S01,83.33332824707031
W-2_RB4+_F_S01,100.0
W-2_RB4--_B_S01,0.0
W-2_RB4--_F_S01,0.0
W-2_RB4++_B_S01,0.0
W-2_RB4++_F_S01,0.0
W-2_RB1in_B_S02,94.23077392578125
W-2_RB1in_F_S02,97.67790222167969
W-2_RB1out_B_S02,96.30621337890625
W-2_RB1out_F_S02,99.05316925048828
W-2_RB2in_B_S02,98.8133773803711
W-2_RB2in_F_S02,96.86346435546875
W-2_RB2out_M_S02,96.11992645263672
W-2_RB2out_B_S02,99.44312286376953
W-2_RB2out_F_S02,99.33333587646484
W-2_RB3-_B_S02,97.54029083251953
W-2_RB3-_F_S02,96.81159210205078
W-2_RB3+_B_S02,0.0
W-2_RB3+_F_S02,0.0
W-2_RB4-_B_S02,92.30769348144531
W-2_RB4-_F_S02,83.33332824707031
W-2_RB4+_B_S02,95.7957992553711
W-2_RB4+_F_S02,96.92308044433594
W-2_RB4--_B_S02,0.0
W-2_RB4--_F_S02,0.0
W-2_RB4++_B_S02,0.0
W-2_RB4++_F_S02,0.0
W-2_RB1in_B_S03,96.82136535644531
W-2_RB1in_F_S03,96.9784164428711
W-2_RB1out_B_S03,97.00225830078125
W-2_RB1out_F_S03,98.86925506591797
W-2_RB2in_B_S03,98.51372528076172
W-2_RB2in_F_S03,91.23468017578125
W-2_RB2out_M_S03,98.32713317871094
W-2_RB2out_B_S03,97.89813995361328
W-2_RB2out_F_S03,97.90795135498047
W-2_RB3-_B_S03,0.0
W-2_RB3-_F_S03,0.0
W-2_RB3+_B_S03,78.55648040771484
W-2_RB3+_F_S03,97.93438720703125
W-2_RB4-_B_S03,98.5
W-2_RB4-_F_S03,84.35294342041016
W-2_RB4+_B_S03,96.9359359741211
W-2_RB4+_F_S03,97.07317352294922
W-2_RB4--_B_S03,0.0
W-2_RB4--_F_S03,0.0
W-2_RB4++_B_S03,0.0
W-2_RB4++_F_S03,0.0
W-2_RB1in_B_S04,96.28463745117188
W-2_RB1in_F_S04,97.8629379272461
W-2_RB1out_B_S04,98.7406997680664
W-2_RB1out_F_S04,95.29914093017578
W-2_RB2in_B_S04,95.45801544189453
W-2_RB2in_F_S04,97.68089294433594
W-2_RB2out_M_S04,88.965087890625
W-2_RB2out_B_S04,93.1451644897461
W-2_RB2out_F_S04,99.45130157470703
W-2_RB3-_B_S04,99.22057342529297
W-2_RB3-_F_S04,93.88412475585938
W-2_RB3+_B_S04,99.68717956542969
W-2_RB3+_F_S04,99.36238098144531
W-2_RB4-_B_S04,0.0
W-2_RB4-_F_S04,0.0
W-2_RB4+_B_S04,97.03703308105469
W-2_RB4+_F_S04,97.04724884033203
W-2_RB4--_B_S04,98.76543426513672
W-2_RB4--_F_S04,95.480224609375
W-2_RB4++_B_S04,100.0
W-2_RB4++_F_S04,81.60173034667969
W-2_RB1in_B_S05,95.56817626953125
W-2_RB1in_F_S05,98.91156768798828
W-2_RB1out_B_S05,97.7176284790039
W-2_RB1out_F_S05,96.97367858886719
W-2_RB2in_B_S05,91.85713958740234
W-2_RB2in_F_S05,98.09852600097656
W-2_RB2out_M_S05,99.0367202758789
W-2_RB2out_B_S05,96.69917297363281
W-2_RB2out_F_S05,99.11616516113281
W-2_RB3-_B_S05,97.22689056396484
W-2_RB3-_F_S05,98.13542938232422
W-2_RB3+_B_S05,95.81095886230469
W-2_RB3+_F_S05,98.48484802246094
W-2_RB4-_B_S05,0.0
W-2_RB4-_F_S05,0.0
W-2_RB4+_B_S05,98.72881317138672
W-2_RB4+_F_S05,91.89189147949219
W-2_RB4--_B_S05,0.0
W-2_RB4--_F_S05,0.0
W-2_RB4++_B_S05,0.0
W-2_RB4++_F_S05,0.0
W-2_RB1in_B_S06,96.38687896728516
W-2_RB1in_F_S06,96.83413696289062
W-2_RB1out_B_S06,99.28717041015625
W-2_RB1out_F_S06,94.98432922363281
W-2_RB2in_B_S06,98.23406982421875
W-2_RB2in_F_S06,98.41136932373047
W-2_RB2out_M_S06,97.81144714355469
