chamber,fid_eff_roll_level
W-2_RB1in_B_S01,96.04039001464844
W-2_RB1in_F_S01,97.85810089111328
W-2_RB1out_B_S01,96.49710083007812
W-2_RB1out_F_S01,98.77225494384766
W-2_RB2in_B_S01,98.20386505126953
W-2_RB2in_F_S01,98.75208282470703
W-2_RB2out_M_S01,98.88835144042969
W-2_RB2out_B_S01,97.97187042236328
W-2_RB2out_F_S01,98.72537994384766
W-2_RB3-_B_S01,97.43867492675781
W-2_RB3-_F_S01,98.71175384521484
W-2_RB3+_B_S01,97.4266357421875
W-2_RB3+_F_S01,99.34056091308594
W-2_RB4-_B_S01,0.0
W-2_RB4-_F_S01,0.0
W-2_RB4+_B_S01,82.14286041259766
W-2_RB4+_F_S01,100.0
W-2_RB4--_B_S01,0.0
W-2_RB4--_F_S01,0.0
W-2_RB4++_B_S01,0.0
W-2_RB4++_F_S01,0.0
W-2_RB1in_B_S02,94.25566101074219
W-2_RB1in_F_S02,97.51760864257812
W-2_RB1out_B_S02,95.49763488769531
W-2_RB1out_F_S02,99.06977081298828
W-2_RB2in_B_S02,98.9012680053711
W-2_RB2in_F_S02,97.21865844726562
W-2_RB2out_M_S02,96.731201171875
W-2_RB2out_B_S02,99.32235717773438
W-2_RB2out_F_S02,98.72418212890625
W-2_RB3-_B_S02,97.73282623291016
W-2_RB3-_F_S02,96.65254211425781
W-2_RB3+_B_S02,0.0
W-2_RB3+_F_S02,0.0
W-2_RB4-_B_S02,94.04761505126953
W-2_RB4-_F_S02,92.85713958740234
W-2_RB4+_B_S02,95.63380432128906
W-2_RB4+_F_S02,97.22222137451172
W-2_RB4--_B_S02,0.0
W-2_RB4--_F_S02,0.0
W-2_RB4++_B_S02,0.0
W-2_RB4++_F_S02,0.0
W-2_RB1in_B_S03,96.94739532470703
W-2_RB1in_F_S03,97.64389038085938
W-2_RB1out_B_S03,96.73489379882812
W-2_RB1out_F_S03,98.71165466308594
W-2_RB2in_B_S03,98.48584747314453
W-2_RB2in_F_S03,90.4494400024414
W-2_RB2out_M_S03,98.3944320678711
W-2_RB2out_B_S03,97.85943603515625
W-2_RB2out_F_S03,98.06974029541016
W-2_RB3-_B_S03,0.0
W-2_RB3-_F_S03,0.0
W-2_RB3+_B_S03,78.5171127319336
W-2_RB3+_F_S03,98.40875244140625
W-2_RB4-_B_S03,97.30848693847656
W-2_RB4-_F_S03,84.73323059082031
W-2_RB4+_B_S03,98.30712890625
W-2_RB4+_F_S03,97.03971099853516
W-2_RB4--_B_S03,0.0
W-2_RB4--_F_S03,0.0
W-2_RB4++_B_S03,0.0
W-2_RB4++_F_S03,0.0
W-2_RB1in_B_S04,96.78313446044922
W-2_RB1in_F_S04,98.33277130126953
W-2_RB1out_B_S04,98.5721435546875
W-2_RB1out_F_S04,96.91279602050781
W-2_RB2in_B_S04,96.30619812011719
W-2_RB2in_F_S04,98.46481323242188
W-2_RB2out_M_S04,88.92847442626953
W-2_RB2out_B_S04,93.64362335205078
W-2_RB2out_F_S04,99.81696319580078
W-2_RB3-_B_S04,99.28245544433594
W-2_RB3-_F_S04,95.11312103271484
W-2_RB3+_B_S04,0.0
W-2_RB3+_F_S04,0.0
W-2_RB4-_B_S04,0.0
W-2_RB4-_F_S04,0.0
W-2_RB4+_B_S04,97.24349212646484
W-2_RB4+_F_S04,97.4826431274414
W-2_RB4--_B_S04,96.62921142578125
W-2_RB4--_F_S04,96.8297119140625
W-2_RB4++_B_S04,99.23076629638672
W-2_RB4++_F_S04,79.06281280517578
W-2_RB1in_B_S05,95.75495910644531
W-2_RB1in_F_S05,98.94409942626953
W-2_RB1out_B_S05,97.88587951660156
W-2_RB1out_F_S05,96.72610473632812
W-2_RB2in_B_S05,92.69503021240234
W-2_RB2in_F_S05,98.2220458984375
W-2_RB2out_M_S05,98.44308471679688
W-2_RB2out_B_S05,97.46995544433594
W-2_RB2out_F_S05,98.494140625
W-2_RB3-_B_S05,97.95234680175781
W-2_RB3-_F_S05,98.31388092041016
W-2_RB3+_B_S05,96.46098327636719
W-2_RB3+_F_S05,99.18560028076172
W-2_RB4-_B_S05,0.0
W-2_RB4-_F_S05,0.0
W-2_RB4+_B_S05,0.0
W-2_RB4+_F_S05,0.0
W-2_RB4--_B_S05,0.0
W-2_RB4--_F_S05,0.0
W-2_RB4++_B_S05,0.0
W-2_RB4++_F_S05,0.0
W-2_RB1in_B_S06,96.0830078125
W-2_RB1in_F_S06,98.34052276611328
W-2_RB1out_B_S06,99.29061889648438
W-2_RB1out_F_S06,96.09004974365234
W-2_RB2in_B_S06,98.47161865234375
W-2_RB2in_F_S06,99.04682922363281
W-2_RB2out_M_S06,97.90157318115234
W-2_RB2out_B_S06,98.05725860595703
W-2_RB2out_F_S06,98.87640380859375
W-2_RB3-_B_S06,95.71998596191406
W-2_RB3-_F_S06,98.61982727050781
W-2_RB3+_B_S06,97.45642852783203
W-2_RB3+_F_S06,99.36072540283203
W-2_RB4-_B_S06,97.7835693359375
W-2_RB4-_F_S06,95.73332977294922
W-2_RB4+_B_S06,98.11321258544922
W-2_RB4+_F_S06,100.0
W-2_RB4--_B_S06,0.0
W-2_RB4--_F_S06,0.0
W-2_RB4++_B_S06,0.0
W-2_RB4++_F_S06,0.0
W-2_RB1in_B_S07,96.01459503173828
W-2_RB1in_F_S07,97.8470687866211
W-2_RB1out_B_S07,97.41277313232422
W-2_RB1out_F_S07,98.74462890625
W-2_RB2in_B_S07,99.37859344482422
W-2_RB2in_F_S07,81.0424575805664
W-2_RB2out_M_S07,97.83528137207031
W-2_RB2out_B_S07,98.4375
W-2_RB2out_F_S07,98.21428680419922
W-2_RB3-_B_S07,97.23866271972656
W-2_RB3-_F_S07,98.23307037353516
W-2_RB3+_B_S07,96.04196166992188
W-2_RB3+_F_S07,98.1069564819336
W-2_RB4-_B_S07,0.0
W-2_RB4-_F_S07,0.0
W-2_RB4+_B_S07,91.48936462402344
W-2_RB4+_F_S07,100.0
W-2_RB4--_B_S07,0.0
W-2_RB4--_F_S07,0.0
W-2_RB4++_B_S07,0.0
W-2_RB4++_F_S07,0.0
W-2_RB1in_B_S08,96.9350814819336
W-2_RB1in_F_S08,95.14844512939453
W-2_RB1out_B_S08,81.78268432617188
W-2_RB1out_F_S08,82.49754333496094
W-2_RB2in_B_S08,97.62432098388672
W-2_RB2in_F_S08,96.38182830810547
W-2_RB2out_M_S08,98.0931167602539
W-2_RB2out_B_S08,97.92200469970703
W-2_RB2out_F_S08,99.15478515625
W-2_RB3-_B_S08,98.77847290039062
W-2_RB3-_F_S08,98.30834197998047
W-2_RB3+_B_S08,98.53947448730469
W-2_RB3+_F_S08,98.82075500488281
W-2_RB4-_B_S08,89.1334228515625
W-2_RB4-_F_S08,93.33333587646484
