run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency,contains_zero_roll,rolls_count,fid_eff_ch_level
323700,W-2_RB1in_S01,-2,1,1,1.92647,393,-0.00490196,1.0,1.92647,446,Col,51.152290344,0,2,95.88462448120116
323700,W-2_RB1out_S01,-2,1,1,1.76331,298,0.0236686,1.0,1.76331,446,Col,52.847826004,0,2,97.24910354614258
323700,W-2_RB2in_S01,-2,1,2,2.11111,456,0.0138889,1.0,2.11111,446,Col,75.138381958,0,2,98.1938133239746
323700,W-2_RB2out_S01,-2,1,2,1.69271,325,0.0104167,1.0,1.69271,446,Col,76.494316101,0,3,98.59163665771484
323700,W-2_RB3+_S01,-2,1,3,1.89474,144,0.0,1.0,1.89474,446,Col,81.95488739000001,0,2,98.12397384643556
323700,W-2_RB3-_S01,-2,1,3,2.05051,203,0.0,1.0,2.05051,446,Col,85.04737854,0,2,98.53706741333008
323700,W-2_RB4+_S01,-2,1,4,1.92941,164,0.0,1.0,1.92941,446,Col,0.0,0,2,94.11764907836914
323700,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,446,Col,0.0,1,2,0.0
323700,W-2_RB1in_S02,-2,2,1,1.97059,268,0.0367647,1.0,1.97059,446,Col,46.370164871,0,2,96.41207885742188
323700,W-2_RB1out_S02,-2,2,1,2.13333,288,0.0444444,1.00746,2.14925,446,Col,53.615427017,0,2,97.04201889038086
323700,W-2_RB2in_S02,-2,2,2,1.62802,337,0.0,1.00976,1.6439,446,Col,74.921066284,0,2,97.83182525634766
323700,W-2_RB2out_S02,-2,2,2,2.58883,510,0.0101523,1.0051,2.60204,446,Col,79.769432068,0,3,98.2384262084961
323700,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,446,Col,0.0,1,2,0.0
323700,W-2_RB3-_S02,-2,2,3,1.54167,185,0.00833333,1.0,1.54167,446,Col,88.2275123595,0,2,96.77441024780272
323700,W-2_RB4+_S02,-2,2,4,1.84466,190,0.0194175,1.0,1.84466,446,Col,0.0,0,2,96.15950775146484
323700,W-2_RB4-_S02,-2,2,4,1.59211,121,0.0,1.0,1.59211,446,Col,0.0,0,2,95.45454788208008
323700,W-2_RB1in_S03,-2,3,1,1.96711,299,0.0197368,1.00662,1.98013,446,Col,47.3372192385,0,2,97.15028381347656
323700,W-2_RB1out_S03,-2,3,1,1.9863,290,0.0410959,1.0,1.9863,446,Col,51.422668457,0,2,97.4549331665039
323700,W-2_RB2in_S03,-2,3,2,2.0122,330,0.0365854,1.0,2.0122,446,Col,70.160917282,0,2,92.88715362548828
323700,W-2_RB2out_S03,-2,3,2,2.0,340,0.0117647,1.0,2.0,446,Col,77.37536875400001,0,3,97.97569529215497
323700,W-2_RB3+_S03,-2,3,3,1.56471,133,0.0352941,1.0119,1.58333,446,Col,80.1452789305,0,2,88.24273681640625
323700,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,446,Col,0.0,1,2,0.0
323700,W-2_RB4+_S03,-2,3,4,1.78261,123,0.0,1.0,1.78261,446,Col,100.0,0,2,97.13086700439452
323700,W-2_RB4-_S03,-2,3,4,1.78947,102,-0.0350877,1.0,1.78947,446,Col,0.0,0,2,90.53253173828124
323700,W-2_RB1in_S04,-2,4,1,1.98,396,0.02,1.0,1.98,446,Col,50.148607254,0,2,97.7400360107422
323700,W-2_RB1out_S04,-2,4,1,2.17073,445,0.00487805,1.0049,2.18137,446,Col,53.55966568,0,2,97.54589462280272
323700,W-2_RB2in_S04,-2,4,2,1.77733,439,0.0161943,1.00816,1.79184,446,Col,78.641624451,0,2,96.37296295166016
323700,W-2_RB2out_S04,-2,4,2,1.97854,461,0.0,1.00866,1.99567,446,Col,75.26305643733333,0,3,94.00603485107422
