run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency,fid_eff_ch_level
321047,W-2_RB1out_S06,-2,6,1,1.81651,198,-1.22018,1.0,1.81651,974,Cos,85.172389984,88.88888931274414
321047,W-2_RB2in_S06,-2,6,2,1.90955,380,-1.51759,1.0,1.90955,974,Cos,88.09961318949999,86.66666793823242
321047,W-2_RB2out_S06,-2,6,2,1.69271,325,-1.53646,1.0,1.69271,974,Cos,86.52387746200002,79.62963104248047
321047,W-2_RB3+_S06,-2,6,3,1.52727,84,-1.67273,1.0,1.52727,974,Cos,81.0522384645,50.0
321047,W-2_RB3-_S06,-2,6,3,1.43066,196,-1.69343,1.0,1.43066,974,Cos,85.1812934875,75.0
321047,W-2_RB4+_S06,-2,6,4,1.72727,38,-1.81818,1.0,1.72727,974,Cos,87.181934357,50.0
321047,W-2_RB4-_S06,-2,6,4,1.26316,144,-1.89474,1.0,1.26316,974,Cos,73.58932113649999,25.0
321047,W-2_RB1in_S07,-2,7,1,1.57143,44,0.285714,1.0,1.57143,974,Cos,70.62942504899999,58.928571701049805
321047,W-2_RB1out_S07,-2,7,1,1.68421,32,0.210526,1.0,1.68421,974,Cos,71.99834442150001,91.66666412353516
321047,W-2_RB2in_S07,-2,7,2,1.2,12,-1.2,1.0,1.2,974,Cos,68.113340378,50.0
321047,W-2_RB2out_S07,-2,7,2,1.5,15,-1.0,1.0,1.5,974,Cos,79.43229166666667,16.666666666666668
321047,W-2_RB3+_S07,-2,7,3,1.3125,21,0.0625,1.0,1.3125,974,Cos,85.157444,50.0
321047,W-2_RB3-_S07,-2,7,3,1.2,6,-1.8,1.0,1.2,974,Cos,84.66419982900001,25.0
321047,W-2_RB4+_S07,-2,7,4,1.37313,92,0.0895522,1.0,1.37313,974,Cos,86.625495911,100.0
321047,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-2_RB1in_S08,-2,8,1,1.50146,515,0.247813,1.0,1.50146,974,Cos,82.98015213,90.8814582824707
321047,W-2_RB1out_S08,-2,8,1,1.29767,279,0.27907,1.0,1.29767,974,Cos,49.315383911,55.76013946533203
321047,W-2_RB2in_S08,-2,8,2,1.68135,649,0.272021,1.0,1.68135,974,Cos,85.77131271350001,88.81118774414062
321047,W-2_RB2out_S08,-2,8,2,1.66053,631,0.218421,1.0,1.66053,974,Cos,84.39907328266666,86.45548502604167
321047,W-2_RB3+_S08,-2,8,3,1.39236,401,0.152778,1.0,1.39236,974,Cos,83.824798584,81.5411491394043
321047,W-2_RB3-_S08,-2,8,3,1.51741,305,0.0945274,1.0,1.51741,974,Cos,85.1232528685,82.42753601074219
321047,W-2_RB4+_S08,-2,8,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-2_RB4-_S08,-2,8,4,1.19742,279,0.0729614,1.0,1.19742,974,Cos,67.527233124,81.17647171020508
321047,W-2_RB1in_S09,-2,9,1,1.38067,700,0.234714,1.0,1.38067,974,Cos,69.27173233049999,80.8965950012207
321047,W-2_RB1out_S09,-2,9,1,1.53507,766,0.214429,1.0,1.53507,974,Cos,68.694972992,78.22027587890625
321047,W-2_RB2in_S09,-2,9,2,1.64895,1179,0.197203,1.0014,1.65126,974,Cos,78.9015731815,81.45061874389648
321047,W-2_RB2out_S09,-2,9,2,1.35199,918,0.266568,1.00147,1.35398,974,Cos,74.71723938000001,78.92156728108723
321047,W-2_RB3+_S09,-2,9,3,1.55708,682,0.164384,1.0,1.55708,974,Cos,78.58493804950001,87.60044860839844
321047,W-2_RB3-_S09,-2,9,3,1.50681,553,0.27248,1.0,1.50681,974,Cos,72.815238953,79.88222885131836
321047,W-2_RB4_S09,-2,9,4,1.35582,804,0.0860034,1.0,1.35582,974,Cos,77.1009025575,79.69979095458984
321047,W-2_RB1in_S10,-2,10,1,1.84279,1137,0.0875203,1.0,1.84279,974,Cos,83.0689315795,87.93061065673828
321047,W-2_RB1out_S10,-2,10,1,1.40885,796,0.270796,1.0,1.40885,974,Cos,68.68349456749999,77.79191589355469
321047,W-2_RB2in_S10,-2,10,2,1.48851,1231,0.113664,1.0,1.48851,974,Cos,79.74899292,85.38574981689453
321047,W-2_RB2out_S10,-2,10,2,1.54867,1400,0.110619,1.0,1.54867,974,Cos,87.51933288566666,87.7497075398763
321047,W-2_RB3+_S10,-2,10,3,1.55603,722,0.161638,1.00216,1.5594,974,Cos,81.4242286685,80.49811935424805
321047,W-2_RB3-_S10,-2,10,3,1.5406,664,0.139211,1.0,1.5406,974,Cos,67.7394447325,73.14514350891113
321047,W-2_RB4+_S10,-2,10,4,1.56041,1072,0.0887918,1.00146,1.56268,974,Cos,85.768047333,73.71106338500977
321047,W-2_RB4-_S10,-2,10,4,1.53485,1079,0.200569,1.0,1.53485,974,Cos,85.497253418,83.33234024047852
321047,W-2_RB1in_S11,-2,11,1,1.50627,601,0.441103,1.0,1.50627,974,Cos,73.19081115750001,79.28312683105469
321047,W-2_RB1out_S11,-2,11,1,1.62227,743,0.244541,1.0,1.62227,974,Cos,79.9267272945,86.90184783935547
321047,W-2_RB2in_S11,-2,11,2,1.67419,1038,0.295161,1.0,1.67419,974,Cos,86.233402252,86.89603424072266
321047,W-2_RB2out_S11,-2,11,2,1.47861,933,0.278922,1.0,1.47861,974,Cos,87.14982605,91.22304026285808
321047,W-2_RB3+_S11,-2,11,3,1.49849,496,0.135952,1.0,1.49849,974,Cos,88.8815078735,89.02056884765625
321047,W-2_RB3-_S11,-2,11,3,1.57377,576,0.166667,1.0,1.57377,974,Cos,88.0676727295,90.4341163635254
321047,W-2_RB4_S11,-2,11,4,1.47059,775,0.3074,1.0,1.47059,974,Cos,84.23865127549999,78.62637329101562
321047,W-2_RB1in_S12,-2,12,1,1.73171,284,0.286585,1.0,1.73171,974,Cos,73.06141281149999,76.41247177124023
321047,W-2_RB1out_S12,-2,12,1,1.40816,276,0.265306,1.0,1.40816,974,Cos,77.49433517450001,79.61664199829102
321047,W-2_RB2in_S12,-2,12,2,1.61592,467,0.287197,1.0,1.61592,974,Cos,81.08942794800001,82.7918472290039
321047,W-2_RB2out_S12,-2,12,2,1.65646,487,0.285714,1.0,1.65646,974,Cos,80.954925537,87.31986999511719
321047,W-2_RB3+_S12,-2,12,3,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-2_RB3-_S12,-2,12,3,1.90686,389,0.112745,1.0,1.90686,974,Cos,95.2106246945,97.36842346191406
321047,W-2_RB4+_S12,-2,12,4,1.50439,343,0.157895,1.0,1.50439,974,Cos,80.2041625975,76.45502853393555
321047,W-2_RB4-_S12,-2,12,4,1.38788,229,0.163636,1.0,1.38788,974,Cos,78.3056602475,79.56710433959961
321047,W-1_RB1in_S01,-1,1,1,1.72222,62,-0.833333,1.0,1.72222,974,Cos,85.2390136715,92.8571434020996
321047,W-1_RB1out_S01,-1,1,1,1.82609,42,-1.0,1.0,1.82609,974,Cos,86.543964386,85.71428680419922
321047,W-1_RB2in_S01,-1,1,2,1.61404,92,0.0701754,1.0,1.61404,974,Cos,86.017636617,100.0
321047,W-1_RB2out_S01,-1,1,2,1.51351,56,0.027027,1.0,1.51351,974,Cos,85.5173606875,96.66666793823242
321047,W-1_RB3+_S01,-1,1,3,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB3-_S01,-1,1,3,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4+_S01,-1,1,4,1.0,3,-2.0,1.0,1.0,974,Cos,90.7182273865,100.0
321047,W-1_RB4-_S01,-1,1,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB1in_S02,-1,2,1,1.67325,1101,-0.930091,1.0,1.67325,974,Cos,81.015926361,82.71739196777344
321047,W-1_RB1out_S02,-1,2,1,1.88504,1197,-1.09921,1.0,1.88504,974,Cos,85.1122665405,90.45454788208008
321047,W-1_RB2in_S02,-1,2,2,1.75142,923,-1.18216,1.0,1.75142,974,Cos,88.168663025,95.0
321047,W-1_RB2out_S02,-1,2,2,1.5362,679,-1.23756,1.0,1.5362,974,Cos,83.2492103575,93.60269546508788
321047,W-1_RB3+_S02,-1,2,3,1.54688,594,-1.51042,1.0,1.54688,974,Cos,89.36638259899999,87.1376838684082
321047,W-1_RB3-_S02,-1,2,3,1.52667,229,-1.54667,1.0,1.52667,974,Cos,85.597969055,75.96154022216797
321047,W-1_RB4+_S02,-1,2,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4-_S02,-1,2,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB1in_S03,-1,3,1,1.77033,3091,-1.04926,1.0,1.77033,974,Cos,87.83279418949999,91.81287002563477
321047,W-1_RB1out_S03,-1,3,1,1.92353,3245,-1.11737,1.0,1.92353,974,Cos,90.85351944,94.1725616455078
321047,W-1_RB2in_S03,-1,3,2,1.46,2044,-1.23143,1.0,1.46,974,Cos,84.076288859,87.92735290527344
321047,W-1_RB2out_S03,-1,3,2,1.46819,1869,-1.30872,1.0,1.46819,974,Cos,85.111366272,85.74324417114258
321047,W-1_RB3+_S03,-1,3,3,1.46091,1439,-1.51269,1.0,1.46091,974,Cos,89.406578064,87.55211639404297
321047,W-1_RB3-_S03,-1,3,3,1.45972,743,-1.53045,1.0,1.45972,974,Cos,88.161643982,92.2924919128418
321047,W-1_RB4+_S03,-1,3,4,1.31434,715,-1.80515,1.0,1.31434,974,Cos,85.3123550415,84.92647171020508
321047,W-1_RB4-_S03,-1,3,4,1.21168,332,-1.89051,1.0,1.21168,974,Cos,85.36553192150001,69.5
321047,W-1_RB1in_S04,-1,4,1,1.72552,8141,-0.987707,1.00021,1.72589,974,Cos,81.8852615355,83.38910675048828
321047,W-1_RB1out_S04,-1,4,1,1.47285,1953,-1.10935,1.0,1.47285,974,Cos,41.759403229,43.15789413452149
321047,W-1_RB2in_S04,-1,4,2,1.51794,7740,-1.19082,1.0002,1.51824,974,Cos,73.88309478733333,74.3960673014323
321047,W-1_RB2out_S04,-1,4,2,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB3+_S04,-1,4,3,1.48142,4185,-1.59292,1.00035,1.48194,974,Cos,86.0946884155,83.8840217590332
321047,W-1_RB3-_S04,-1,4,3,1.3619,4482,-1.59283,1.0,1.3619,974,Cos,82.2327346805,84.34735870361328
321047,W-1_RB4++_S04,-1,4,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4+_S04,-1,4,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4--_S04,-1,4,4,1.35375,884,-1.82695,1.0,1.35375,974,Cos,82.49915313700001,60.15625
321047,W-1_RB4-_S04,-1,4,4,1.19935,3309,-1.8137,1.0,1.19935,974,Cos,83.8259849545,78.2170295715332
321047,W-1_RB1in_S05,-1,5,1,1.58638,2562,-0.934365,1.00062,1.58736,974,Cos,82.40777587900001,82.60613250732422
321047,W-1_RB1out_S05,-1,5,1,1.78826,2956,-1.0363,1.00061,1.78935,974,Cos,88.029964447,88.56209564208984
321047,W-1_RB2in_S05,-1,5,2,1.53442,3299,-1.17163,1.0,1.53442,974,Cos,87.06376647933332,89.33252207438152
321047,W-1_RB2out_S05,-1,5,2,1.50641,2939,-1.26089,1.00051,1.50718,974,Cos,89.2563819885,90.65719985961914
321047,W-1_RB3+_S05,-1,5,3,1.89744,1258,-1.40271,1.0,1.89744,974,Cos,90.6021461485,91.87223052978516
321047,W-1_RB3-_S05,-1,5,3,1.52925,1621,-1.45566,1.0,1.52925,974,Cos,89.91295242300001,87.41976928710938
321047,W-1_RB4+_S05,-1,5,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4-_S05,-1,5,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB1in_S06,-1,6,1,1.64894,620,-0.914894,1.0,1.64894,974,Cos,84.058113098,87.06293869018555
321047,W-1_RB1out_S06,-1,6,1,1.62319,560,-1.02029,1.0,1.62319,974,Cos,78.95595932,84.82143020629883
321047,W-1_RB2in_S06,-1,6,2,1.91343,1083,-1.17314,1.0,1.91343,974,Cos,84.57623036700001,92.82447052001952
321047,W-1_RB2out_S06,-1,6,2,1.50487,772,-1.2963,1.0,1.50487,974,Cos,83.744430542,83.01435470581055
321047,W-1_RB3+_S06,-1,6,3,1.20588,123,-1.44118,1.0,1.20588,974,Cos,68.6152973175,65.686279296875
321047,W-1_RB3-_S06,-1,6,3,1.62278,456,-1.48399,1.0,1.62278,974,Cos,78.096935272,73.64672470092773
321047,W-1_RB4+_S06,-1,6,4,1.16216,43,-1.64865,1.0,1.16216,974,Cos,82.9473724365,50.0
321047,W-1_RB4-_S06,-1,6,4,1.61765,330,-1.64706,1.0,1.61765,974,Cos,77.1765823365,73.07692337036133
321047,W-1_RB1in_S07,-1,7,1,1.7193,98,0.0,1.0,1.7193,974,Cos,81.817691803,76.15384864807129
321047,W-1_RB1out_S07,-1,7,1,3.16667,114,-0.111111,1.0,3.16667,974,Cos,83.0409317015,91.66666412353516
321047,W-1_RB2in_S07,-1,7,2,1.375,22,-0.8125,1.0,1.375,974,Cos,58.75655492133333,58.333333333333336
321047,W-1_RB2out_S07,-1,7,2,1.58333,19,-0.916667,1.0,1.58333,974,Cos,42.108078003,40.0
321047,W-1_RB3+_S07,-1,7,3,1.33333,44,0.151515,1.0,1.33333,974,Cos,86.6821250915,100.0
321047,W-1_RB3-_S07,-1,7,3,2.125,17,-1.25,1.0,2.125,974,Cos,89.36170578,75.0
321047,W-1_RB4+_S07,-1,7,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4-_S07,-1,7,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB1in_S08,-1,8,1,1.58469,1946,0.240228,1.0,1.58469,974,Cos,84.730937958,86.03954315185547
321047,W-1_RB1out_S08,-1,8,1,1.63192,2035,0.157177,1.0,1.63192,974,Cos,86.240966797,88.16143417358398
321047,W-1_RB2in_S08,-1,8,2,1.58369,1826,0.165655,1.0,1.58369,974,Cos,87.36539204933335,91.4978739420573
321047,W-1_RB2out_S08,-1,8,2,1.71403,1894,0.246154,1.0,1.71403,974,Cos,88.28311538700001,91.5421905517578
321047,W-1_RB3+_S08,-1,8,3,1.63072,998,0.176471,1.0,1.63072,974,Cos,77.1982269285,79.73055648803711
321047,W-1_RB3-_S08,-1,8,3,1.56415,768,0.197556,1.0,1.56415,974,Cos,86.0998420715,88.83452224731445
321047,W-1_RB4+_S08,-1,8,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB4-_S08,-1,8,4,0.0,0,0.0,0.0,0.0,974,Cos,0.0,0.0
321047,W-1_RB1in_S09,-1,9,1,1.53709,2922,0.210942,1.0,1.53709,974,Cos,79.9201316835,82.05839538574219
321047,W-1_RB1out_S09,-1,9,1,1.70869,3185,0.187232,1.0,1.70869,974,Cos,84.1821517945,83.62666320800781
321047,W-1_RB2in_S09,-1,9,2,1.49789,2843,0.19863,1.0,1.49789,974,Cos,82.83049519866667,85.35195668538411
321047,W-1_RB2out_S09,-1,9,2,1.41169,2342,0.238698,1.0,1.41169,974,Cos,80.317943573,81.14321899414062
321047,W-1_RB3+_S09,-1,9,3,1.43337,1323,0.169014,1.0,1.43337,974,Cos,83.7437438965,80.22966766357422
321047,W-1_RB3-_S09,-1,9,3,1.30615,1041,0.181932,1.0,1.30615,974,Cos,78.4464569095,77.21723937988281
321047,W-1_RB4_S09,-1,9,4,1.50409,1656,0.162579,1.0,1.50409,974,Cos,86.159442902,87.26465225219727
321047,W-1_RB1in_S10,-1,10,1,1.69203,3692,0.199358,1.00046,1.6928,974,Cos,87.2467002865,88.23310470581055
321047,W-1_RB1out_S10,-1,10,1,1.62584,3385,0.127281,1.0,1.62584,974,Cos,87.6500167845,88.80687713623047
