run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
322599,W-2_RB1in_S01,-2,1,1,1.89294,18053,0.00922722,1.00411,1.90072,292,Col,49.602571487
322599,W-2_RB1out_S01,-2,1,1,1.85187,16165,0.0114561,1.00276,1.85698,292,Col,54.895952225
322599,W-2_RB2in_S01,-2,1,2,2.00815,19457,0.0104242,1.00321,2.0146,292,Col,76.416156769
322599,W-2_RB2out_S01,-2,1,2,1.83894,16442,0.0184543,1.00247,1.84348,292,Col,80.52537790933333
322599,W-2_RB3+_S01,-2,1,3,1.86094,7708,0.00917431,1.00121,1.86319,292,Col,90.07823562600001
322599,W-2_RB3-_S01,-2,1,3,1.87529,8060,0.00814332,1.00093,1.87704,292,Col,91.00240707399999
322599,W-2_RB4+_S01,-2,1,4,1.90063,7555,0.0108176,1.00176,1.90398,292,Col,38.636363983
322599,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB1in_S02,-2,2,1,1.95561,19871,0.0113178,1.00336,1.96218,292,Col,51.1869182585
322599,W-2_RB1out_S02,-2,2,1,2.15849,19979,0.011452,1.00314,2.16528,292,Col,56.246898650999995
322599,W-2_RB2in_S02,-2,2,2,1.78302,17807,0.00500651,1.00402,1.79019,292,Col,77.8662109375
322599,W-2_RB2out_S02,-2,2,2,2.25501,20480,0.00913896,1.00276,2.26123,292,Col,80.927708944
322599,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB3-_S02,-2,2,3,1.69453,7217,0.00540033,1.00047,1.69533,292,Col,90.6823158265
322599,W-2_RB4+_S02,-2,2,4,1.77755,7647,0.009298,1.00163,1.78044,292,Col,65.49707412699999
322599,W-2_RB4-_S02,-2,2,4,1.74122,6547,0.00824468,1.0008,1.74261,292,Col,22.2222213745
322599,W-2_RB1in_S03,-2,3,1,2.04859,19898,0.00875116,1.00465,2.05813,292,Col,50.087526321
322599,W-2_RB1out_S03,-2,3,1,2.09499,18746,0.00972284,1.00348,2.10228,292,Col,54.6569309235
322599,W-2_RB2in_S03,-2,3,2,2.15782,20892,0.00836604,1.00332,2.16497,292,Col,74.244884491
322599,W-2_RB2out_S03,-2,3,2,1.99066,18121,0.00768977,1.0022,1.99505,292,Col,80.31012725833334
322599,W-2_RB3+_S03,-2,3,3,1.65163,6116,0.00810154,1.00027,1.65208,292,Col,80.566642761
322599,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB4+_S03,-2,3,4,1.73122,6866,0.00403429,1.00152,1.73384,292,Col,55.8080806735
322599,W-2_RB4-_S03,-2,3,4,1.88415,7335,0.00976111,1.00154,1.88706,292,Col,17.307691574
322599,W-2_RB1in_S04,-2,4,1,2.01222,18939,0.00722482,1.00534,2.02297,292,Col,49.793327332000004
322599,W-2_RB1out_S04,-2,4,1,2.32707,19801,0.0108121,1.0052,2.33916,292,Col,54.7160015105
322599,W-2_RB2in_S04,-2,4,2,2.00445,18479,0.0198503,1.00326,2.01099,292,Col,75.64754104650001
322599,W-2_RB2out_S04,-2,4,2,1.9361,15514,0.00748783,1.00225,1.94046,292,Col,75.78455098466667
322599,W-2_RB3+_S04,-2,4,3,2.35014,9511,0.00790709,1.00099,2.35246,292,Col,91.05520629899999
322599,W-2_RB3-_S04,-2,4,3,1.81776,7531,0.0091721,1.00072,1.81908,292,Col,90.12228775049999
322599,W-2_RB4++_S04,-2,4,4,1.69094,4273,0.0015829,1.0,1.69094,292,Col,78.84264373799999
322599,W-2_RB4+_S04,-2,4,4,1.58267,4786,0.00562169,1.00166,1.58529,292,Col,93.66924285900001
322599,W-2_RB4--_S04,-2,4,4,1.53275,3838,0.00359425,1.0004,1.53336,292,Col,67.142856598
322599,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB1in_S05,-2,5,1,2.14426,20587,0.00968649,1.00429,2.15345,292,Col,49.5041255955
322599,W-2_RB1out_S05,-2,5,1,1.95309,16947,0.0126772,1.00382,1.96055,292,Col,54.728061675999996
322599,W-2_RB2in_S05,-2,5,2,1.91558,17698,0.289966,1.00435,1.9239,292,Col,74.1779251095
322599,W-2_RB2out_S05,-2,5,2,2.03508,17636,0.0139626,1.00301,2.0412,292,Col,79.08296966566667
322599,W-2_RB3+_S05,-2,5,3,1.95162,7664,0.0096766,1.00102,1.95361,292,Col,88.8205337525
322599,W-2_RB3-_S05,-2,5,3,1.79162,7738,0.0120398,1.00093,1.79328,292,Col,90.211929321
322599,W-2_RB4+_S05,-2,5,4,1.81785,6477,0.0143138,1.00169,1.82092,292,Col,53.125
322599,W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB1in_S06,-2,6,1,2.0337,19550,0.012067,1.00439,2.04263,292,Col,50.212226868
322599,W-2_RB1out_S06,-2,6,1,2.28012,20138,0.012115,1.00409,2.28945,292,Col,55.9864711765
322599,W-2_RB2in_S06,-2,6,2,2.16797,20715,0.0141287,1.00442,2.17755,292,Col,77.9892311095
322599,W-2_RB2out_S06,-2,6,2,1.94139,16762,0.0138985,1.00314,1.94748,292,Col,80.15852864566666
322599,W-2_RB3+_S06,-2,6,3,1.70801,6955,0.00933202,1.00025,1.70843,292,Col,89.6780815125
322599,W-2_RB3-_S06,-2,6,3,1.68279,7029,0.00670338,1.00072,1.684,292,Col,90.87198257450001
322599,W-2_RB4+_S06,-2,6,4,1.86784,6812,0.0150809,1.0011,1.86989,292,Col,63.636363983
322599,W-2_RB4-_S06,-2,6,4,1.70138,6176,0.00385675,1.00138,1.70372,292,Col,64.166666031
322599,W-2_RB1in_S07,-2,7,1,2.09185,19496,0.00890558,1.00431,2.10086,292,Col,49.9561004635
322599,W-2_RB1out_S07,-2,7,1,1.88495,16039,0.0169233,1.00354,1.89161,292,Col,55.46572876
322599,W-2_RB2in_S07,-2,7,2,2.00962,17136,0.00785739,1.00223,2.0141,292,Col,71.3346214295
322599,W-2_RB2out_S07,-2,7,2,1.83156,15506,0.0148831,1.00249,1.83612,292,Col,79.075401306
322599,W-2_RB3+_S07,-2,7,3,2.16556,8188,0.0150754,1.00079,2.16728,292,Col,89.97670745849999
322599,W-2_RB3-_S07,-2,7,3,1.98878,8152,0.00878263,1.00098,1.99072,292,Col,90.912685394
322599,W-2_RB4+_S07,-2,7,4,1.79624,6409,0.00952915,1.00028,1.79675,292,Col,58.3333330155
322599,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB1in_S08,-2,8,1,1.91125,17918,0.0126933,1.0045,1.91985,292,Col,45.810750961500005
322599,W-2_RB1out_S08,-2,8,1,1.4606,10937,0.012687,1.00335,1.4655,292,Col,44.310707092499996
322599,W-2_RB2in_S08,-2,8,2,2.12306,19581,0.018649,1.00315,2.12976,292,Col,75.762950897
322599,W-2_RB2out_S08,-2,8,2,1.96472,16651,0.00731563,1.00391,1.9724,292,Col,78.66327158633334
322599,W-2_RB3+_S08,-2,8,3,1.73793,6950,0.00475119,1.0015,1.74055,292,Col,90.7301979065
322599,W-2_RB3-_S08,-2,8,3,2.04531,8441,0.00266537,1.00194,2.04928,292,Col,91.4784698485
322599,W-2_RB4+_S08,-2,8,4,0.0,0,0.0,0.0,0.0,292,Col,0.0
322599,W-2_RB4-_S08,-2,8,4,1.37369,4856,0.00537482,1.00142,1.37564,292,Col,31.666666031
322599,W-2_RB1in_S09,-2,9,1,1.90967,18117,0.00463793,1.00338,1.91613,292,Col,49.736408233999995
322599,W-2_RB1out_S09,-2,9,1,1.90272,16293,0.0094593,1.00316,1.90874,292,Col,54.208469391
322599,W-2_RB2in_S09,-2,9,2,2.10605,19919,0.00708395,1.00457,2.11567,292,Col,76.5009155275
322599,W-2_RB2out_S09,-2,9,2,1.67547,14146,0.00852777,1.00297,1.68045,292,Col,77.65885671
322599,W-2_RB3+_S09,-2,9,3,1.78724,6779,0.00922752,1.00026,1.78771,292,Col,85.801700592
322599,W-2_RB3-_S09,-2,9,3,1.92227,8062,0.00572246,1.00095,1.92411,292,Col,91.46376037600001
322599,W-2_RB4_S09,-2,9,4,1.67186,6868,0.00316456,1.00171,1.67471,292,Col,60.407241821
322599,W-2_RB1in_S10,-2,10,1,2.3522,22527,0.00584734,1.00409,2.36182,292,Col,50.200246811
322599,W-2_RB1out_S10,-2,10,1,1.87457,16425,0.00867382,1.0024,1.87908,292,Col,54.077846527000005
322599,W-2_RB2in_S10,-2,10,2,2.02181,19652,0.00339506,1.00227,2.0264,292,Col,76.7997512815
322599,W-2_RB2out_S10,-2,10,2,2.05761,18251,0.0065389,1.00181,2.06133,292,Col,79.75556437166667
322599,W-2_RB3+_S10,-2,10,3,1.68805,7419,0.00932878,1.00137,1.69036,292,Col,89.4290122985
322599,W-2_RB3-_S10,-2,10,3,1.69655,6340,0.00160557,1.00054,1.69746,292,Col,83.58486557
322599,W-2_RB4+_S10,-2,10,4,1.78612,9520,0.00825516,1.00244,1.79048,292,Col,93.73207092300001
322599,W-2_RB4-_S10,-2,10,4,1.79314,8885,0.00565086,1.00182,1.7964,292,Col,92.39524841299999
322599,W-2_RB1in_S11,-2,11,1,2.102,18733,0.0200853,1.00406,2.11052,292,Col,45.887256621999995
